university_name,country,year,ranking_source,rank,score,university_name_std,country_std,rank_original,score_original,rank_normalized,score_normalized
Massachusetts Institute of Technology (MIT),United States of America,2026,QS,1.0,100.0,massachusetts institute of technology (mit),united states of america,1,100,100.0,100.0
Imperial College London,United Kingdom,2026,QS,2.0,99.4,imperial college london,united kingdom,2,99.4,99.92857142857143,99.19893190921229
Stanford University,United States of America,2026,QS,3.0,98.9,stanford university,united states of america,3,98.9,99.85714285714286,98.53137516688919
University of Oxford,United Kingdom,2026,QS,4.0,97.9,university of oxford,united kingdom,4,97.9,99.78571428571429,97.196261682243
Harvard University,United States of America,2026,QS,5.0,97.7,harvard university,united states of america,5,97.7,99.71428571428571,96.92923898531373
University of Cambridge,United Kingdom,2026,QS,6.0,97.2,university of cambridge,united kingdom,6,97.2,99.64285714285714,96.26168224299064
ETH Zurich (Swiss Federal Institute of Technology),Switzerland,2026,QS,7.0,96.7,eth zurich (swiss federal institute of technology),switzerland,7,96.7,99.57142857142857,95.59412550066753
National University of Singapore (NUS),Singapore,2026,QS,8.0,95.9,national university of singapore (nus),singapore,8,95.9,99.5,94.52603471295062
UCL (University College London),United Kingdom,2026,QS,9.0,95.8,ucl (university college london),united kingdom,9,95.8,99.42857142857143,94.39252336448595
California Institute of Technology (Caltech),United States of America,2026,QS,10.0,94.3,california institute of technology (caltech),united states of america,10,94.3,99.35714285714286,92.38985313751667
The University of Hong Kong,"Hong Kong SAR, China",2026,QS,11.0,94.2,the university of hong kong,"hong kong sar, china",11,94.2,99.28571428571429,92.25634178905206
"Nanyang Technological University, Singapore (NTU Singapore)",Singapore,2026,QS,12.0,93.7,"nanyang technological university, singapore (ntu singapore)",singapore,12,93.7,99.21428571428571,91.58878504672896
University of Chicago,United States of America,2026,QS,13.0,93.0,university of chicago,united states of america,13,93,99.14285714285714,90.65420560747664
Peking University,China (Mainland),2026,QS,14.0,92.6,peking university,china (mainland),14,92.6,99.07142857142858,90.12016021361815
University of Pennsylvania,United States of America,2026,QS,15.0,92.5,university of pennsylvania,united states of america,15,92.5,99.0,89.98664886515354
Cornell University,United States of America,2026,QS,16.0,91.6,cornell university,united states of america,16,91.6,98.92857142857143,88.78504672897196
Tsinghua University,China (Mainland),2026,QS,17.0,91.2,tsinghua university,china (mainland),17,91.2,98.85714285714286,88.25100133511347
"University of California, Berkeley (UCB)",United States of America,2026,QS,17.0,91.2,"university of california, berkeley (ucb)",united states of america,17,91.2,98.85714285714286,88.25100133511347
The University of Melbourne,Australia,2026,QS,19.0,90.8,the university of melbourne,australia,19,90.8,98.71428571428571,87.71695594125498
The University of New South Wales,Australia,2026,QS,20.0,90.7,the university of new south wales,australia,20,90.7,98.64285714285714,87.58344459279037
Yale University,United States of America,2026,QS,21.0,90.4,yale university,united states of america,21,90.4,98.57142857142858,87.18291054739655
École Polytechnique Fédérale de Lausanne,Switzerland,2026,QS,22.0,90.2,école polytechnique fédérale de lausanne,switzerland,22,90.2,98.5,86.91588785046727
Technical University of Munich,Germany,2026,QS,22.0,90.2,technical university of munich,germany,22,90.2,98.5,86.91588785046727
Johns Hopkins University,United States of America,2026,QS,24.0,89.7,johns hopkins university,united states of america,24,89.7,98.35714285714286,86.24833110814419
Princeton University,United States of America,2026,QS,25.0,89.4,princeton university,united states of america,25,89.4,98.28571428571429,85.84779706275035
The University of Sydney,Australia,2026,QS,25.0,89.4,the university of sydney,australia,25,89.4,98.28571428571429,85.84779706275035
McGill University,Canada,2026,QS,27.0,88.9,mcgill university,canada,27,88.9,98.14285714285714,85.18024032042723
PSL University,France,2026,QS,28.0,88.6,psl university,france,28,88.6,98.07142857142857,84.77970627503336
University of Toronto,Canada,2026,QS,29.0,88.5,university of toronto,canada,29,88.5,98.0,84.64619492656875
Fudan University,China (Mainland),2026,QS,30.0,88.4,fudan university,china (mainland),30,88.4,97.92857142857143,84.51268357810414
King's College London (KCL),United Kingdom,2026,QS,31.0,88.3,king's college london (kcl),united kingdom,31,88.3,97.85714285714285,84.37917222963951
Australian National University,Australia,2026,QS,32.0,87.4,australian national university,australia,32,87.4,97.78571428571429,83.17757009345794
The Chinese University of Hong Kong,"Hong Kong SAR, China",2026,QS,32.0,87.4,the chinese university of hong kong,"hong kong sar, china",32,87.4,97.78571428571429,83.17757009345794
