university_name,country,year,ranking_source,rank,score,university_name_std,country_std,rank_original,rank_numeric,score_original,score_numeric,rank_normalized,score_normalized
Massachusetts Institute of Technology (MIT),United States of America,2026,QS,1.0,100.0,massachusetts institute of technology (mit),united states of america,1,1.0,100,100.0,100.0,100.0
Imperial College London,United Kingdom,2026,QS,2.0,99.4,imperial college london,united kingdom,2,2.0,99.4,99.4,99.95433789954338,99.3312975057397
Stanford University,United States of America,2026,QS,3.0,98.9,stanford university,united states of america,3,3.0,98.9,98.9,99.90867579908675,98.77404542718945
University of Oxford,United Kingdom,2026,QS,4.0,97.9,university of oxford,united kingdom,4,4.0,97.9,97.9,99.86301369863013,97.65954127008895
Harvard University,United States of America,2026,QS,5.0,97.7,harvard university,united states of america,5,5.0,97.7,97.7,99.81735159817352,97.43664043866885
University of Cambridge,United Kingdom,2026,QS,6.0,97.2,university of cambridge,united kingdom,6,6.0,97.2,97.2,99.77168949771689,96.8793883601186
ETH Zurich (Swiss Federal Institute of Technology),Switzerland,2026,QS,7.0,96.7,eth zurich (swiss federal institute of technology),switzerland,7,7.0,96.7,96.7,99.72602739726028,96.32213628156833
National University of Singapore (NUS),Singapore,2026,QS,8.0,95.9,national university of singapore (nus),singapore,8,8.0,95.9,95.9,99.68036529680366,95.43053295588794
UCL (University College London),United Kingdom,2026,QS,9.0,95.8,ucl (university college london),united kingdom,9,9.0,95.8,95.8,99.63470319634703,95.31908254017787
California Institute of Technology (Caltech),United States of America,2026,QS,10.0,94.3,california institute of technology (caltech),united states of america,10,10.0,94.3,94.3,99.58904109589041,93.64732630452711
The University of Hong Kong,"Hong Kong SAR, China",2026,QS,11.0,94.2,the university of hong kong,"hong kong sar, china",11,11.0,94.2,94.2,99.54337899543378,93.53587588881706
"Nanyang Technological University, Singapore (NTU Singapore)",Singapore,2026,QS,12.0,93.7,"nanyang technological university, singapore (ntu singapore)",singapore,12,12.0,93.7,93.7,99.49771689497717,92.97862381026681
University of Chicago,United States of America,2026,QS,13.0,93.0,university of chicago,united states of america,13,13.0,93,93.0,99.45205479452055,92.19847090029646
Peking University,China (Mainland),2026,QS,14.0,92.6,peking university,china (mainland),14,14.0,92.6,92.6,99.40639269406392,91.75266923745625
University of Pennsylvania,United States of America,2026,QS,15.0,92.5,university of pennsylvania,united states of america,15,15.0,92.5,92.5,99.3607305936073,91.64121882174621
Cornell University,United States of America,2026,QS,16.0,91.6,cornell university,united states of america,16,16.0,91.6,91.6,99.31506849315068,90.63816508035575
Tsinghua University,China (Mainland),2026,QS,17.0,91.2,tsinghua university,china (mainland),17,17.0,91.2,91.2,99.26940639269407,90.19236341751555
"University of California, Berkeley (UCB)",United States of America,2026,QS,17.0,91.2,"university of california, berkeley (ucb)",united states of america,17,17.0,91.2,91.2,99.26940639269407,90.19236341751555
The University of Melbourne,Australia,2026,QS,19.0,90.8,the university of melbourne,australia,19,19.0,90.8,90.8,99.17808219178083,89.74656175467534
The University of New South Wales,Australia,2026,QS,20.0,90.7,the university of new south wales,australia,20,20.0,90.7,90.7,99.1324200913242,89.6351113389653
Yale University,United States of America,2026,QS,21.0,90.4,yale university,united states of america,21,21.0,90.4,90.4,99.08675799086758,89.30076009183516
