country,university_count,average_rank,average_score,ranking_source
"Hong Kong SAR, China",9,139.71428571428572,72.6,QS
Netherlands,13,166.46153846153845,61.66923076923077,QS
Qatar,2,178.0,58.7,QS
Sweden,8,183.5,59.9625,QS
Denmark,5,189.6,58.04,QS
Switzerland,10,217.0,61.199999999999996,QS
Ireland,8,255.66666666666666,51.96666666666667,QS
New Zealand,8,261.375,50.9875,QS
Singapore,4,262.5,63.125,QS
Australia,36,263.9032258064516,55.07741935483871,QS
Belgium,10,273.75,51.45,QS
Colombia,13,280.6666666666667,48.13333333333333,QS
United Kingdom,90,298.327868852459,54.059999999999995,QS
Canada,29,303.95652173913044,50.9,QS
South Africa,11,328.5,44.833333333333336,QS
Norway,6,330.25,47.05,QS
Oman,5,334.0,42.3,QS
Germany,49,351.15384615384613,45.82051282051282,QS
France,35,353.05555555555554,47.03888888888889,QS
Portugal,9,354.3333333333333,42.43333333333333,QS
"Macao SAR, China",3,362.5,40.95,QS
United States of America,192,366.1057692307692,52.87142857142857,QS
Luxembourg,1,381.0,39.4,QS
Finland,9,389.22222222222223,41.8,QS
China (Mainland),72,396.0,44.55555555555556,QS
Saudi Arabia,22,404.44444444444446,42.63333333333333,QS
Spain,38,408.04761904761904,39.84285714285714,QS
Israel,6,436.6666666666667,38.766666666666666,QS
Malaysia,32,438.7368421052632,43.58888888888889,QS
United Arab Emirates,12,442.09090909090907,37.85454545454545,QS
Lithuania,5,446.0,34.8,QS
Italy,43,446.1363636363636,40.67142857142857,QS
Austria,8,451.75,38.35,QS
Greece,7,464.5,34.975,QS
Iran (Islamic Republic of),11,466.3333333333333,34.65,QS
Brunei Darussalam,2,472.5,34.75,QS
Estonia,3,498.5,34.05,QS
Lebanon,9,516.2,33.5,QS
Slovenia,3,535.0,30.6,QS
Taiwan,29,542.1875,40.56428571428571,QS
Republic of Korea,43,544.76,44.91428571428572,QS
Japan,47,549.5238095238095,53.3625,QS
Kuwait,3,563.0,29.4,QS
Cyprus,2,569.0,29.950000000000003,QS
Hungary,10,581.3333333333334,28.8,QS
Iceland,1,582.0,28.8,QS
India,54,597.7307692307693,38.48636363636364,QS
Bahrain,3,613.0,27.8,QS
Poland,20,615.5,42.06666666666666,QS
Czechia,16,627.5714285714286,33.95,QS
Brazil,24,640.7777777777778,40.08571428571428,QS
Pakistan,18,648.7142857142857,32.43333333333333,QS
Uruguay,4,650.0,26.7,QS
Slovakia,6,684.0,25.8,QS
Azerbaijan,9,688.0,25.6,QS
Northern Cyprus,2,691.0,25.4,QS
Jordan,16,728.6666666666666,38.45,QS
Argentina,18,730.0,42.25,QS
Philippines,6,732.0,33.03333333333333,QS
Türkiye,26,736.9230769230769,37.02222222222222,QS
Russian Federation,40,747.85,35.72857142857143,QS
Kazakhstan,20,792.75,39.739999999999995,QS
Chile,20,841.5555555555555,42.94,QS
Indonesia,26,843.0625,40.17777777777778,QS
Mexico,22,905.2,60.55,QS
Thailand,15,907.5,38.95,QS
Belarus,3,924.0,34.6,QS
Uzbekistan,7,935.0,33.7,QS
Costa Rica,4,950.0,32.2,QS
Egypt,20,982.0,37.1,QS
Viet Nam,10,992.0,29.4,QS
Peru,9,1049.0,41.7,QS
Bangladesh,15,1298.875,28.7,QS
Panama,2,1401.0,,QS
Romania,10,1401.0,,QS
Honduras,1,1401.0,,QS
Dominican Republic,2,1401.0,,QS
Ecuador,7,1401.0,,QS
Libya,1,1401.0,,QS
Sri Lanka,4,1401.0,,QS
Venezuela (Bolivarian Republic of),6,1401.0,,QS
Armenia,1,,,QS
Bosnia and Herzegovina,1,,,QS
Bulgaria,1,,,QS
Croatia,3,,,QS
Cuba,2,,,QS
Ethiopia,1,,,QS
Georgia,2,,,QS
Ghana,2,,,QS
Guatemala,1,,,QS
Iraq,10,,,QS
Kenya,1,,,QS
Kyrgyzstan,5,,,QS
Latvia,4,,,QS
Malta,1,,,QS
Morocco,2,,,QS
Nigeria,3,,,QS
Palestine,4,,,QS
Paraguay,1,,,QS
Puerto Rico,1,,,QS
Serbia,2,,,QS
Sudan,1,,,QS
Syrian Arab Republic,1,,,QS
Tunisia,4,,,QS
Uganda,1,,,QS
Ukraine,10,,,QS
Singapore,2,24.0,85.65599999999989,THE
Hong Kong,8,126.5,67.88362499999994,THE
Netherlands,12,135.41666666666666,65.21470833333329,THE
Qatar,1,221.0,57.5884999999999,THE
Denmark,6,221.83333333333334,59.3158333333333,THE
Luxembourg,1,265.0,55.7969999999999,THE
Belgium,10,312.8,56.291349999999966,THE
Australia,37,320.43243243243245,55.47887837837834,THE
Finland,9,324.22222222222223,53.599222222222174,THE
Sweden,13,341.61538461538464,55.38223076923072,THE
Germany,55,347.72727272727275,54.63580909090905,THE
United Arab Emirates,8,368.625,51.58306249999995,THE
Switzerland,12,386.9166666666667,57.48283333333327,THE
Macao,3,391.0,52.592000000000006,THE
Austria,13,429.3076923076923,50.62719230769228,THE
Ireland,9,451.3333333333333,50.06266666666663,THE
Norway,5,452.8,50.49149999999994,THE
New Zealand,8,471.375,48.05149999999996,THE
United States,171,492.4502923976608,53.33785964912277,THE
Canada,34,554.4411764705883,49.5214558823529,THE
Italy,54,561.5925925925926,46.25420370370367,THE
Brunei Darussalam,2,566.0,45.2745,THE
Oman,3,584.6666666666666,44.175666666666636,THE
United Kingdom,109,599.0733944954128,48.42673853211006,THE
Cyprus,4,604.0,43.87174999999993,THE
Northern Cyprus,3,654.6666666666666,42.496666666666634,THE
Israel,8,661.0,44.33912499999999,THE
Iceland,2,690.0,41.79149999999995,THE
Estonia,3,692.3333333333334,42.6826666666666,THE
China,97,719.1855670103092,45.00535567010306,THE
Saudi Arabia,31,740.8064516129032,41.67338709677417,THE
South Korea,41,769.780487804878,43.35396341463412,THE
Bahrain,2,824.5,39.854,THE
South Africa,13,837.3846153846154,40.690653846153815,THE
France,48,905.0,39.844354166666626,THE
Jordan,14,915.3571428571429,37.46792857142854,THE
Uganda,1,923.0,36.856,THE
Malta,1,926.0,36.7905,THE
Kuwait,2,950.5,36.95125,THE
Portugal,16,1014.375,36.19724999999997,THE
Malaysia,27,1016.5185185185185,36.97764814814812,THE
Spain,57,1026.6315789473683,35.97955263157891,THE
Yemen,1,1097.0,33.781,THE
Pakistan,48,1097.1041666666667,33.98678124999996,THE
Lebanon,5,1106.0,35.42539999999996,THE
Iran,90,1108.411111111111,34.08320555555552,THE
Fiji,1,1116.0,33.412,THE
Uzbekistan,4,1180.0,32.97449999999995,THE
Egypt,36,1188.5,32.347930555555514,THE
Bangladesh,19,1192.1052631578948,32.27339473684208,THE
Lithuania,5,1192.4,32.31479999999994,THE
India,128,1200.828125,32.422585937499974,THE
Slovenia,4,1217.75,31.880749999999974,THE
Ghana,4,1239.5,31.523249999999976,THE
Greece,19,1242.7368421052631,31.66755263157891,THE
Hungary,12,1248.75,32.03041666666662,THE
Libya,1,1254.0,31.1754999999999,THE
Vietnam,11,1309.4545454545455,30.39618181818179,THE
Taiwan,47,1310.1702127659576,31.011638297872313,THE
Czechia,18,1310.6666666666667,30.489555555555526,THE
Mauritius,1,1344.0,29.558,THE
Morocco,12,1345.9166666666667,30.11937499999998,THE
Botswana,2,1347.5,29.72075,THE
Palestine,2,1358.0,29.58924999999995,THE
Serbia,2,1374.0,29.29474999999995,THE
Mozambique,1,1393.0,28.713,THE
Latvia,4,1413.25,28.412374999999948,THE
Jamaica,1,1422.0,28.4159999999999,THE
Poland,42,1429.0,28.359071428571394,THE
Kazakhstan,5,1460.2,28.26719999999994,THE
Thailand,21,1469.6666666666667,27.59690476190473,THE
Croatia,3,1470.3333333333333,27.662499999999934,THE
Tunisia,9,1475.0,27.63122222222221,THE
Japan,115,1478.3217391304347,28.25827391304344,THE
Slovakia,7,1515.7142857142858,26.768642857142844,THE
Nigeria,24,1549.9583333333333,26.022833333333313,THE
Cuba,1,1561.0,26.1929999999999,THE
Romania,22,1570.2727272727273,25.85813636363633,THE
Turkey,109,1575.8715596330276,25.732633027522905,THE
Chile,29,1630.1724137931035,24.884431034482724,THE
Philippines,6,1631.0,24.706916666666615,THE
Zimbabwe,1,1637.0,25.0864999999999,THE
Brazil,59,1645.1864406779662,24.4379322033898,THE
Nepal,1,1673.0,24.4355,THE
Russian Federation,80,1682.0125,23.521137499999973,THE
Sri Lanka,6,1687.3333333333333,23.595416666666633,THE
Azerbaijan,4,1688.75,23.415374999999948,THE
Kenya,2,1693.5,23.89149999999995,THE
Indonesia,35,1715.3142857142857,23.10471428571424,THE
Iraq,25,1734.32,22.686579999999967,THE
Tanzania,2,1773.5,22.420250000000003,THE
Zambia,1,1781.0,22.652,THE
Colombia,24,1794.0833333333333,21.29695833333328,THE
Georgia,3,1821.0,21.1428333333333,THE
Ecuador,12,1823.8333333333333,20.629666666666598,THE
Rwanda,1,1837.0,21.317,THE
Paraguay,1,1847.0,21.2179999999999,THE
North Macedonia,1,1860.0,21.0005,THE
Peru,8,1867.0,20.033437499999987,THE
Belarus,1,1880.0,20.5105,THE
Mexico,21,1890.047619047619,19.357499999999938,THE
Namibia,1,1891.0,20.2855,THE
Bosnia and Herzegovina,1,1897.0,20.1414999999999,THE
Bulgaria,5,1905.8,19.47009999999994,THE
Argentina,9,1909.888888888889,19.263277777777745,THE
Montenegro,1,1910.0,19.6474999999999,THE
Ukraine,22,1915.5,19.223477272727248,THE
Algeria,28,1933.3214285714287,18.969464285714245,THE
Costa Rica,3,1953.3333333333333,18.758666666666603,THE
Senegal,1,1989.0,18.0325,THE
Armenia,1,1999.0,17.864,THE
Kosovo,1,2017.0,17.4715,THE
Mongolia,1,2036.0,17.0009999999999,THE
Venezuela,2,2040.5,16.823,THE
Syria,1,2156.0,13.8834999999999,THE
