metric,value
Total Universities,1504.0
Average Rank,476.4825
Median Rank,400.5
Best Rank,1.0
Average Overall Score,46.704397163120575
Median Overall Score,41.5
Average Academic Reputation,25.753390957446808
Average Employer Reputation,26.908377659574466
Average Faculty Student Ratio,33.98849734042553
Average Citations per Faculty,30.476861702127657
Average International Faculty,36.26598447424135
Average International Student,33.3346284935242
Average Employment Outcomes,29.934840425531913
Average Sustainability,51.230067567567566
