university_name,country,year,ranking_source,rank,score
Massachusetts Institute of Technology (MIT),United States of America,2026,QS,1,100
Imperial College London,United Kingdom,2026,QS,2,99.4
Stanford University,United States of America,2026,QS,3,98.9
University of Oxford,United Kingdom,2026,QS,4,97.9
Harvard University,United States of America,2026,QS,5,97.7
University of Cambridge,United Kingdom,2026,QS,6,97.2
ETH Zurich (Swiss Federal Institute of Technology),Switzerland,2026,QS,7,96.7
National University of Singapore (NUS),Singapore,2026,QS,8,95.9
UCL (University College London),United Kingdom,2026,QS,9,95.8
California Institute of Technology (Caltech),United States of America,2026,QS,10,94.3
The University of Hong Kong,"Hong Kong SAR, China",2026,QS,11,94.2
"Nanyang Technological University, Singapore (NTU Singapore)",Singapore,2026,QS,12,93.7
University of Chicago,United States of America,2026,QS,13,93
Peking University,China (Mainland),2026,QS,14,92.6
University of Pennsylvania,United States of America,2026,QS,15,92.5
Cornell University,United States of America,2026,QS,16,91.6
Tsinghua University,China (Mainland),2026,QS,17,91.2
"University of California, Berkeley (UCB)",United States of America,2026,QS,17,91.2
The University of Melbourne,Australia,2026,QS,19,90.8
The University of New South Wales,Australia,2026,QS,20,90.7
Yale University,United States of America,2026,QS,21,90.4
École Polytechnique Fédérale de Lausanne,Switzerland,2026,QS,22,90.2
Technical University of Munich,Germany,2026,QS,22,90.2
Johns Hopkins University,United States of America,2026,QS,24,89.7
Princeton University,United States of America,2026,QS,25,89.4
The University of Sydney,Australia,2026,QS,25,89.4
McGill University,Canada,2026,QS,27,88.9
PSL University,France,2026,QS,28,88.6
University of Toronto,Canada,2026,QS,29,88.5
Fudan University,China (Mainland),2026,QS,30,88.4
King's College London (KCL),United Kingdom,2026,QS,31,88.3
Australian National University,Australia,2026,QS,32,87.4
The Chinese University of Hong Kong,"Hong Kong SAR, China",2026,QS,32,87.4
University of Edinburgh,United Kingdom,2026,QS,34,87.2
The University of Manchester,United Kingdom,2026,QS,35,86.4
Monash University,Australia,2026,QS,36,85.8
The University of Tokyo,Japan,2026,QS,36,85.8
Columbia University,United States of America,2026,QS,38,85.6
Seoul National University,Republic of Korea,2026,QS,38,85.6
University of British Columbia,Canada,2026,QS,40,85.5
Institut Polytechnique de Paris,France,2026,QS,41,85.4
Northwestern University,United States of America,2026,QS,42,85.1
The University of Queensland,Australia,2026,QS,42,85.1
The Hong Kong University of Science and Technology,"Hong Kong SAR, China",2026,QS,44,84.8
University of Michigan-Ann Arbor,United States of America,2026,QS,45,84.7
"University of California, Los Angeles (UCLA)",United States of America,2026,QS,46,84.4
