QS_Rank,QS_Previous_Rank,QS_University_Name,QS_Country,QS_Region,QS_Size,QS_Focus,QS_Research_Level,QS_Status,QS_Academic_Reputation_Score,THE_Rank,THE_University_Name,THE_Country,THE_Student_Population,THE_Students_to_Staff_Ratio,THE_International_Students,THE_Female_to_Male_Ratio,THE_Overall_Score,THE_Teaching,THE_Research_Environment,THE_Research_Quality,THE_Industry_Impact,THE_International_Outlook,THE_Year,University_Name,Country,Year,Data_Source,QS_THE_Match_Status
306,306,Aalborg University,Denmark,Europe,L,FC,VH,Public,26.4,259.0,Aalborg University,Denmark,"16,050",13.9,13%,,56.063,33.6,44.9,80.6,88.0,72.4,2026.0,Aalborg University,Denmark,2026,QS + THE,Matched
114,113,Aalto University,Finland,Europe,L,FO,VH,Public,57.5,196.0,Aalto University,Finland,"15,131",21.3,26%,39 : 61,59.017,44.3,43.4,78.9,91.0,80.7,2026.0,Aalto University,Finland,2026,QS + THE,Matched
131,144,Aarhus University,Denmark,Europe,L,FC,VH,Public,68.3,101.0,Aarhus University,Denmark,"25,370",12.8,12%,60 : 40,66.1985,48.6,58.8,83.9,99.8,75.3,2026.0,Aarhus University,Denmark,2026,QS + THE,Matched
,,,,,,,,,,1573.0,Abdelmalek Essaâdi University,Morocco,"118,761",84.4,1%,53 : 47,25.9075,22.9,11.1,43.1,20.7,29.0,2026.0,Abdelmalek Essaâdi University,Morocco,2026,THE only,THE record not matched in QS
,,,,,,,,,,831.0,Abdul Wali Khan University Mardan,Pakistan,"13,165",22.2,0%,27 : 73,38.3315,19.0,12.5,81.2,24.6,50.1,2026.0,Abdul Wali Khan University Mardan,Pakistan,2026,THE only,THE record not matched in QS
,,,,,,,,,,918.0,Abdullah Gül University,Turkey,"2,977",32.4,8%,50 : 50,36.91799999999999,22.2,27.2,54.9,56.9,49.8,2026.0,Abdullah Gül University,Turkey,2026,THE only,THE record not matched in QS
741-750,661-670,Aberystwyth University,United Kingdom,Europe,M,CO,VH,Public,12.8,686.0,Aberystwyth University,United Kingdom,"6,330",15.1,21%,52 : 48,41.66,26.9,22.2,61.9,62.1,83.1,2026.0,Aberystwyth University,United Kingdom,2026,QS + THE,Matched
643,621-630,Abo Akademi University,Finland,Europe,M,CO,VH,Public,9.5,,,,,,,,,,,,,,,Abo Akademi University,Finland,2026,QS only,QS record not matched in THE
391,501,Abu Dhabi University,United Arab Emirates,Asia,S,FO,VH,Private for Profit,24.6,233.0,Abu Dhabi University,United Arab Emirates,"2,344",10.7,60%,50 : 50,57.17099999999999,38.0,33.9,92.0,29.5,98.0,2026.0,Abu Dhabi University,United Arab Emirates,2026,QS + THE,Matched
951-1000,851-900,Abylkas Saginov Karaganda Technical University,Kazakhstan,Asia,M,FO,HI,Public,10.3,,,,,,,,,,,,,,,Abylkas Saginov Karaganda Technical University,Kazakhstan,2026,QS only,QS record not matched in THE
,,,,,,,,,,1690.0,Acıbadem University,Turkey,"3,501",7.6,8%,73 : 27,24.1805,27.3,12.4,29.0,26.4,37.0,2026.0,Acıbadem University,Turkey,2026,THE only,THE record not matched in QS
,,,,,,,,,,1674.0,Acharya Nagarjuna University,India,"6,220",7.6,7%,32 : 68,24.434999999999995,45.0,9.9,16.8,27.6,28.6,2026.0,Acharya Nagarjuna University,India,2026,THE only,THE record not matched in QS
1201-1400,,ADA University,Azerbaijan,Asia,S,SP,LO,Public,8.4,,,,,,,,,,,,,,,ADA University,Azerbaijan,2026,QS only,QS record not matched in THE
741-750,761-770,Adam Mickiewicz University,Poland,Europe,L,CO,VH,Public,24.1,,,,,,,,,,,,,,,Adam Mickiewicz University,Poland,2026,QS only,QS record not matched in THE
,,,,,,,,,,1119.0,"Adam Mickiewicz University, Poznań",Poland,"30,005",23.1,7%,68 : 32,33.376999999999995,20.6,30.7,46.8,37.3,38.2,2026.0,"Adam Mickiewicz University, Poznań",Poland,2026,THE only,THE record not matched in QS
1001-1200,,Adamson University,Philippines,Asia,M,CO,MD,Private for Profit,39.3,,,,,,,,,,,,,,,Adamson University,Philippines,2026,QS only,QS record not matched in THE
,,,,,,,,,,1944.0,Adana Alparslan Türkeş Science and Technology University,Turkey,"4,769",19.2,0%,43 : 57,18.913,13.7,10.4,31.5,17.2,22.9,2026.0,Adana Alparslan Türkeş Science and Technology University,Turkey,2026,THE only,THE record not matched in QS
851-900,771-780,Addis Ababa University,Ethiopia,Africa,XL,FO,VH,,7.8,,,,,,,,,,,,,,,Addis Ababa University,Ethiopia,2026,QS only,QS record not matched in THE
82,,Adelaide University,Australia,Oceania,XL,CO,VH,,78.3,134.0,Adelaide University,Australia,"43,623",30.4,27%,55 : 45,63.0525,38.3,48.9,89.5,99.7,89.8,2026.0,Adelaide University,Australia,2026,QS + THE,Matched
,,,,,,,,,,1855.0,Adelphi University,United States,"6,884",11.7,7%,70 : 30,21.0825,25.5,7.9,26.2,18.1,35.8,2026.0,Adelphi University,United States,2026,THE only,THE record not matched in QS
,,,,,,,,,,1409.0,Adolfo Ibáñez University,Chile,"10,615",20.9,5%,38 : 62,28.5335,15.6,17.4,44.3,22.7,62.5,2026.0,Adolfo Ibáñez University,Chile,2026,THE only,THE record not matched in QS
,,,,,,,,,,1912.0,Adıyaman University,Turkey,"18,054",21.3,3%,33 : 67,19.586,13.0,10.1,33.5,16.8,28.0,2026.0,Adıyaman University,Turkey,2026,THE only,THE record not matched in QS
,,,,,,,,,,1964.0,Afyon Kocatepe University,Turkey,"22,390",31.1,6%,50 : 50,18.517,16.5,9.8,26.4,22.5,26.5,2026.0,Afyon Kocatepe University,Turkey,2026,THE only,THE record not matched in QS
,,,,,,,,,,1946.0,Afyonkarahisar Health Sciences University,Turkey,"4,545",12.0,3%,66 : 34,18.8745,29.8,11.8,13.1,24.6,23.3,2026.0,Afyonkarahisar Health Sciences University,Turkey,2026,THE only,THE record not matched in QS
1001-1200,,Aga Khan University,Pakistan,Asia,S,FO,VH,Private not for Profit,6.4,,,,,,,,,,,,,,,Aga Khan University,Pakistan,2026,QS only,QS record not matched in THE
801-850,851-900,AGH University of Krakow,Poland,Europe,L,CO,VH,Public,13.1,1125.0,AGH University of Krakow,Poland,"17,827",10.2,4%,33 : 67,33.32449999999999,32.7,21.6,39.8,71.6,34.8,2026.0,AGH University of Krakow,Poland,2026,QS + THE,Matched
801-850,711-720,Ahlia University,Bahrain,Asia,S,SP,HI,Private not for Profit,18.1,,,,,,,,,,,,,,,Ahlia University,Bahrain,2026,QS only,QS record not matched in THE
,,,,,,,,,,1216.0,Ahmadu Bello University,Nigeria,"46,669",16.5,0%,37 : 63,31.8775,24.3,10.0,58.9,20.6,44.2,2026.0,Ahmadu Bello University,Nigeria,2026,THE only,THE record not matched in QS
1201-1400,,"Ahmadu Bello University, Zaria",Nigeria,Africa,XL,CO,HI,,6.3,,,,,,,,,,,,,,,"Ahmadu Bello University, Zaria",Nigeria,2026,QS only,QS record not matched in THE
,,,,,,,,,,925.0,Ahvaz Jundishapur University of Medical Sciences (AJUMS),Iran,"9,059",11.2,4%,56 : 44,36.81649999999999,39.8,14.5,56.0,56.2,24.3,2026.0,Ahvaz Jundishapur University of Medical Sciences (AJUMS),Iran,2026,THE only,THE record not matched in QS
,,,,,,,,,,1231.0,Aichi Medical University,Japan,"1,285",2.8,1%,58 : 42,31.673,31.0,15.0,47.7,54.7,22.4,2026.0,Aichi Medical University,Japan,2026,THE only,THE record not matched in QS
,,,,,,,,,,1916.0,AIIMS Rishikesh,India,"2,002",1.9,3%,37 : 63,19.45,29.0,11.2,17.2,22.8,21.0,2026.0,AIIMS Rishikesh,India,2026,THE only,THE record not matched in QS
542,592,Ain Shams University,Egypt,Africa,XL,FC,VH,Public,35.6,904.0,Ain Shams University,Egypt,"171,505",14.3,7%,52 : 48,37.1545,28.6,27.5,50.4,41.0,53.1,2026.0,Ain Shams University,Egypt,2026,QS + THE,Matched
,,,,,,,,,,729.0,Air University,Pakistan,"10,530",14.5,0%,35 : 65,40.54,22.5,12.6,83.7,34.9,49.9,2026.0,Air University,Pakistan,2026,THE only,THE record not matched in QS
428,481,Aix-Marseille University,France,Europe,XL,FC,VH,Public,51.0,,,,,,,,,,,,,,,Aix-Marseille University,France,2026,QS only,QS record not matched in THE
440,477,Ajman University,United Arab Emirates,Asia,S,FO,VH,Private not for Profit,27.8,411.0,Ajman University,United Arab Emirates,"4,626",15.2,81%,57 : 43,49.5085,25.8,28.7,84.0,22.8,99.5,2026.0,Ajman University,United Arab Emirates,2026,QS + THE,Matched
563,631-640,Ajou University,Republic of Korea,Asia,M,FC,VH,Private not for Profit,19.8,,,,,,,,,,,,,,,Ajou University,Republic of Korea,2026,QS only,QS record not matched in THE
,,,,,,,,,,474.0,Ajou University,South Korea,"7,348",15.0,26%,39 : 61,47.1195,34.3,38.6,58.4,95.8,59.4,2026.0,Ajou University,South Korea,2026,THE only,THE record not matched in QS
1401+,1401+,Akdeniz Üniversitesi,Türkiye,Asia,XL,FC,HI,Public,8.3,,,,,,,,,,,,,,,Akdeniz Üniversitesi,Türkiye,2026,QS only,QS record not matched in THE
,,,,,,,,,,1271.0,Akdeniz University,Turkey,"39,309",29.4,4%,54 : 46,30.840000000000003,25.1,26.3,38.2,60.9,25.5,2026.0,Akdeniz University,Turkey,2026,THE only,THE record not matched in QS
,,,,,,,,,,1850.0,Akita University,Japan,"5,042",10.6,4%,36 : 64,21.197,26.3,13.6,18.7,43.3,28.7,2026.0,Akita University,Japan,2026,THE only,THE record not matched in QS
,,,,,,,,,,2026.0,Aksaray University,Turkey,"16,810",16.4,10%,56 : 44,17.1885,14.8,9.3,24.1,18.2,28.9,2026.0,Aksaray University,Turkey,2026,THE only,THE record not matched in QS
761-770,801-850,Al-Ahliyya Amman University,Jordan,Asia,M,FO,VH,Private not for Profit,17.1,441.0,Al-Ahliyya Amman University,Jordan,"4,510",14.8,64%,52 : 48,48.36099999999999,18.6,24.7,88.0,56.9,93.8,2026.0,Al-Ahliyya Amman University,Jordan,2026,QS + THE,Matched
558,552,Al Ain University,United Arab Emirates,Asia,S,FO,VH,Private not for Profit,25.6,428.0,Al Ain University,United Arab Emirates,"2,588",11.0,61%,51 : 49,48.8045,28.0,30.2,78.7,18.6,99.1,2026.0,Al Ain University,United Arab Emirates,2026,QS + THE,Matched
,,,,,,,,,,960.0,Al al-Bayt University,Jordan,"16,331",24.7,3%,62 : 38,36.19799999999999,14.7,11.1,80.0,18.0,52.3,2026.0,Al al-Bayt University,Jordan,2026,THE only,THE record not matched in QS
1001-1200,1001-1200,Al Azhar University,Egypt,Africa,XL,CO,VH,Public,21.5,970.0,Al-Azhar University,Egypt,"281,032",21.6,11%,41 : 59,36.033,22.1,12.8,68.0,24.6,58.9,2026.0,Al Azhar University,Egypt,2026,QS + THE,Matched
,,,,,,,,,,1246.0,Al-Baha University,Saudi Arabia,"17,782",12.7,2%,55 : 45,31.3925,19.5,9.1,54.9,21.9,75.4,2026.0,Al-Baha University,Saudi Arabia,2026,THE only,THE record not matched in QS
