University_Name,Country,Year,QS_Rank,QS_Previous_Rank,QS_Academic_Reputation_Score,QS_Region,QS_Size,QS_Focus,QS_Research_Level,QS_Status,THE_Rank,THE_Student_Population,THE_Students_to_Staff_Ratio,THE_International_Students_Pct,THE_Female_Ratio,THE_Male_Ratio,THE_Overall_Score,THE_Teaching,THE_Research_Environment,THE_Research_Quality,THE_Industry_Impact,THE_International_Outlook,Data_Source,QS_THE_Match_Status,QS_Data_Available,THE_Data_Available
Aalborg University,Denmark,2026,306,306,26.4,Europe,L,FC,VH,Public,259,16050,13.9,13,-1,-1,56.063,33.6,44.9,80.6,88,72.4,QS + THE,Matched,TRUE,TRUE
Aalto University,Finland,2026,114,113,57.5,Europe,L,FO,VH,Public,196,15131,21.3,26,39,61,59.017,44.3,43.4,78.9,91,80.7,QS + THE,Matched,TRUE,TRUE
Aarhus University,Denmark,2026,131,144,68.3,Europe,L,FC,VH,Public,101,25370,12.8,12,60,40,66.1985,48.6,58.8,83.9,99.8,75.3,QS + THE,Matched,TRUE,TRUE
Abdelmalek Essaâdi University,Morocco,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1573,118761,84.4,1,53,47,25.9075,22.9,11.1,43.1,20.7,29,THE only,THE record not matched in QS,FALSE,TRUE
Abdul Wali Khan University Mardan,Pakistan,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,831,13165,22.2,0,27,73,38.3315,19,12.5,81.2,24.6,50.1,THE only,THE record not matched in QS,FALSE,TRUE
Abdullah Gül University,Turkey,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,918,2977,32.4,8,50,50,36.918,22.2,27.2,54.9,56.9,49.8,THE only,THE record not matched in QS,FALSE,TRUE
Aberystwyth University,United Kingdom,2026,745.5,665.5,12.8,Europe,M,CO,VH,Public,686,6330,15.1,21,52,48,41.66,26.9,22.2,61.9,62.1,83.1,QS + THE,Matched,TRUE,TRUE
Abo Akademi University,Finland,2026,643,625.5,9.5,Europe,M,CO,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Abu Dhabi University,United Arab Emirates,2026,391,501,24.6,Asia,S,FO,VH,Private for Profit,233,2344,10.7,60,50,50,57.171,38,33.9,92,29.5,98,QS + THE,Matched,TRUE,TRUE
Abylkas Saginov Karaganda Technical University,Kazakhstan,2026,975.5,875.5,10.3,Asia,M,FO,HI,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Acıbadem University,Turkey,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1690,3501,7.6,8,73,27,24.1805,27.3,12.4,29,26.4,37,THE only,THE record not matched in QS,FALSE,TRUE
Acharya Nagarjuna University,India,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1674,6220,7.6,7,32,68,24.435,45,9.9,16.8,27.6,28.6,THE only,THE record not matched in QS,FALSE,TRUE
ADA University,Azerbaijan,2026,1300.5,-1,8.4,Asia,S,SP,LO,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Adam Mickiewicz University,Poland,2026,745.5,765.5,24.1,Europe,L,CO,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
