Rank,Name,Country,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook,Year
1,University of Oxford,United Kingdom,22005,10.4,0.43,"2 days, 4:48:00",98.21,97.2,100.0,97.7,99.9,96.4,2026
2,Massachusetts Institute of Technology,United States,11703,7.7,0.33,"1 day, 19:57:00",97.6734999999999,99.2,95.3,99.6,100.0,91.9,2026
3,Princeton University,United States,8739,8.2,0.23,"1 day, 23:53:00",97.211,98.2,97.3,99.0,98.0,85.4,2026
4,University of Cambridge,United Kingdom,21045,11.3,0.38,"2 days, 2:50:00",97.2064999999999,96.2,99.9,97.1,87.6,96.3,2026
5,Stanford University,United States,17422,5.9,0.25,"2 days, 0:52:00",97.151,97.5,97.4,99.5,100.0,83.9,2026
6,Harvard University,United States,22680,10.1,0.27,"2 days, 5:47:00",97.051,95.9,100.0,98.9,86.7,88.3,2026
7,California Institute of Technology,United States,2401,6.7,0.33,39 : 61,96.3164999999999,96.4,97.4,96.8,100.0,87.9,2026
8,Imperial College London,United Kingdom,21340,12.1,0.6,"1 day, 19:57:00",94.689,90.6,94.9,98.0,91.9,98.2,2026
9,"University of California, Berkeley",United States,42565,18.4,0.25,"2 days, 5:47:00",94.406,87.3,99.0,98.9,99.5,83.9,2026
10,Yale University,United States,14884,6.2,0.24,"2 days, 5:47:00",94.081,94.6,94.5,97.2,87.6,81.4,2026
11,ETH Zurich,Switzerland,23106,15.5,0.44,33 : 67,93.1259999999999,88.5,97.2,94.5,83.7,95.1,2026
12,Tsinghua University,China,38569,10.8,0.11,,93.0304999999999,95.9,98.5,93.9,100.0,53.4,2026
13,Peking University,China,35659,11.3,0.15,,92.2815,95.4,97.9,89.0,100.0,67.3,2026
14,University of Pennsylvania,United States,22422,6.6,0.26,"2 days, 7:45:00",90.8024999999999,88.1,90.3,96.1,97.9,78.4,2026
15,The University of Chicago,United States,16509,5.9,0.39,"1 day, 23:53:00",90.6345,89.6,90.1,96.8,76.4,79.7,2026
16,Johns Hopkins University,United States,21275,5.6,0.34,"2 days, 6:46:00",90.0604999999999,84.6,89.9,96.3,100.0,81.9,2026
17,National University of Singapore,Singapore,35558,21.0,0.31,"2 days, 1:51:00",89.6719999999999,78.6,93.1,95.1,99.9,92.8,2026
18,"University of California, Los Angeles",United States,44700,9.8,0.15,"2 days, 9:43:00",89.4859999999999,86.0,91.4,95.6,93.5,69.2,2026
19,Cornell University,United States,25673,10.6,0.26,"2 days, 5:47:00",89.4589999999999,85.9,90.6,95.9,70.3,83.5,2026
20,Columbia University,United States,30580,5.6,0.42,,89.4025,87.8,87.8,95.9,74.8,83.7,2026
21,University of Toronto,Canada,80394,25.1,0.39,"2 days, 8:44:00",88.4544999999999,78.2,92.9,92.3,95.8,92.3,2026
22,UCL,United Kingdom,47520,12.1,0.63,"2 days, 12:40:00",87.4425,77.8,85.9,97.6,74.7,97.5,2026
23,University of Michigan-Ann Arbor,United States,48449,8.4,0.19,"2 days, 4:48:00",86.9295,85.7,87.3,93.8,81.4,65.8,2026
24,Carnegie Mellon University,United States,16257,13.0,0.5,"1 day, 20:56:00",84.959,72.7,83.0,99.0,85.5,84.3,2026
25,University of Washington,United States,49524,9.5,0.18,"2 days, 9:43:00",83.7164999999999,77.0,80.0,97.6,81.6,70.1,2026
26,The University of Tokyo,Japan,26298,10.2,0.18,,83.5244999999999,94.7,94.2,68.2,100.0,50.8,2026
27,Technical University of Munich,Germany,35755,40.7,0.45,37 : 63,83.4474999999999,71.9,84.8,91.3,100.0,83.4,2026
28,Duke University,United States,17871,4.4,0.25,"2 days, 7:45:00",82.9195,78.7,74.2,95.4,100.0,74.2,2026
29,University of Edinburgh,United Kingdom,35350,11.3,0.49,"2 days, 14:38:00",82.4895,75.7,74.7,94.8,71.0,96.2,2026
30,Northwestern University,United States,20611,8.2,0.24,"2 days, 6:46:00",81.869,73.2,76.0,96.9,96.0,71.0,2026
31,"Nanyang Technological University, Singapore",Singapore,25859,17.3,0.31,"1 day, 23:53:00",81.6399999999999,65.8,78.1,95.2,100.0,93.6,2026
32,New York University,United States,48973,9.0,0.46,"2 days, 11:41:00",81.6114999999999,74.6,78.5,94.3,74.8,74.1,2026
33,University of Hong Kong,Hong Kong,17668,17.8,0.48,"2 days, 8:44:00",80.4654999999999,68.3,70.8,95.6,96.5,96.6,2026
34,LMU Munich,Germany,33697,19.1,0.19,"2 days, 13:39:00",79.6665,68.4,75.4,92.4,100.0,78.7,2026
