University,Country,global_ranking_score,research_impact_score,faculty_to_student_ratio,international_student_percentage,academic_reputation_score,research_productivity_index
Massachusetts Institute of Technology (MIT),United States of America,99.98,97.25,0.13,33.0,100.0,97.8
Imperial College London,United Kingdom,99.8,96.35,0.08,60.0,99.6,96.08
Stanford University,United States of America,99.84,98.28,0.17,25.0,100.0,98.56
University of Oxford,United Kingdom,99.89,97.18,0.1,43.0,100.0,95.94
Harvard University,United States of America,99.74,99.58,0.1,27.0,100.0,99.66
University of Cambridge,United Kingdom,99.75,96.2,0.09,38.0,100.0,94.68
ETH Zurich (Swiss Federal Institute of Technology),Switzerland,99.56,96.58,0.06,44.0,99.7,97.02
National University of Singapore (NUS),Singapore,99.38,94.12,0.05,31.0,99.9,94.48
UCL (University College London),United Kingdom,99.23,91.07,0.08,63.0,99.9,89.04
California Institute of Technology (Caltech),United States of America,99.54,89.0,0.15,33.0,98.3,91.2
"Nanyang Technological University, Singapore (NTU Singapore)",Singapore,98.92,88.7,0.06,31.0,97.1,89.88
Peking University,China (Mainland),99.26,92.32,0.09,15.0,99.9,93.7
University of Pennsylvania,United States of America,99.2,86.95,0.15,26.0,98.9,83.96
Cornell University,United States of America,99.05,94.38,0.09,26.0,99.5,95.1
Tsinghua University,China (Mainland),99.18,93.1,0.09,11.0,99.9,94.4
"University of California, Berkeley (UCB)",United States of America,99.24,97.95,0.05,25.0,100.0,97.8
Yale University,United States of America,99.08,87.35,0.16,24.0,100.0,82.84
Technical University of Munich,Germany,98.65,91.15,0.02,45.0,92.0,91.44
Johns Hopkins University,United States of America,98.83,92.35,0.18,34.0,93.2,91.04
Princeton University,United States of America,99.1,94.72,0.12,23.0,100.0,95.78
The University of Sydney,Australia,97.94,87.2,0.04,53.0,98.9,88.62
McGill University,Canada,98.15,80.58,0.09,29.0,98.1,78.94
University of Toronto,Canada,98.54,87.75,0.04,39.0,100.0,83.96
Fudan University,China (Mainland),98.16,82.55,0.08,10.0,93.7,84.6
Australian National University,Australia,97.21,83.28,0.08,51.0,97.9,84.96
University of Edinburgh,United Kingdom,98.18,80.82,0.09,49.0,99.6,75.52
Monash University,Australia,97.39,86.8,0.03,36.0,95.7,88.04
The University of Tokyo,Japan,98.17,80.27,0.1,18.0,100.0,78.2
Columbia University,United States of America,98.24,81.65,0.18,42.0,99.9,74.22
Seoul National University,Republic of Korea,97.34,77.8,0.07,16.0,99.7,78.48
University of British Columbia,Canada,97.59,82.5,0.05,34.0,99.6,80.18
Institut Polytechnique de Paris,France,97.0,80.9,0.13,43.0,58.1,84.18
Northwestern University,United States of America,97.87,82.65,0.12,24.0,92.2,80.36
The University of Queensland,Australia,96.69,84.92,0.04,43.0,94.3,86.78
University of Michigan-Ann Arbor,United States of America,97.92,82.9,0.12,19.0,99.3,77.22
"University of California, Los Angeles (UCLA)",United States of America,98.0,91.2,0.1,15.0,100.0,89.82
Delft University of Technology,Netherlands,97.07,82.25,0.07,35.0,86.2,82.72
Shanghai Jiao Tong University,China (Mainland),97.46,84.25,0.08,11.0,92.7,87.4
Zhejiang University,China (Mainland),97.41,89.18,0.08,14.0,87.0,91.34
Yonsei University,Republic of Korea,96.29,72.77,0.07,17.0,91.6,71.8
University of Bristol,United Kingdom,96.39,82.35,0.07,35.0,87.3,82.52
Carnegie Mellon University,United States of America,97.65,89.95,0.08,50.0,80.1,91.68
New York University (NYU),United States of America,97.36,74.5,0.11,46.0,98.6,65.94
London School of Economics and Political Science (LSE),United Kingdom,96.86,76.25,0.08,72.0,80.6,73.8
Kyoto University,Japan,96.62,69.0,0.11,11.0,99.7,65.38
KU Leuven,Belgium,96.86,89.82,0.03,21.0,93.0,90.8
Korea University,Republic of Korea,94.22,65.12,0.06,38.0,89.2,65.74
Duke University,United States of America,97.2,76.88,0.23,25.0,92.9,70.92
National Taiwan University (NTU),Taiwan,94.56,65.38,0.1,24.0,97.7,66.48
"University of California, San Diego (UCSD)",United States of America,96.62,83.78,0.1,23.0,94.0,83.08
King Fahd University of Petroleum & Minerals,Saudi Arabia,93.38,75.77,0.12,28.0,53.5,79.26
University of Texas at Austin,United States of America,96.48,85.5,0.06,10.0,97.6,85.48
Brown University,United States of America,96.1,77.68,0.1,22.0,72.4,78.58
Université Paris-Saclay,France,95.99,70.92,0.07,25.0,75.3,65.22
University of Illinois at Urbana-Champaign,United States of America,96.57,84.72,0.05,23.0,91.7,84.1
Lund University,Sweden,95.28,74.02,0.1,22.0,80.1,70.54
Sorbonne University (merged from Paris IV & UPMC),France,95.74,77.25,0.07,23.0,93.2,75.56
University of Birmingham,United Kingdom,95.04,73.62,0.07,35.0,81.1,70.12
The University of Western Australia,Australia,93.76,81.28,0.04,30.0,69.0,84.86
KTH Royal Institute of Technology,Sweden,94.99,79.23,0.05,28.0,60.2,81.02
University of Glasgow,United Kingdom,95.3,72.48,0.07,45.0,88.3,66.94
University of Washington,United States of America,96.59,85.45,0.11,18.0,90.1,82.2
Adelaide University,Australia,94.04,76.22,0.03,27.0,78.3,74.94
University of Leeds,United Kingdom,94.27,71.38,0.07,39.0,81.8,66.86
University of Southampton,United Kingdom,93.98,80.05,0.07,46.0,62.6,81.6
Boston University,United States of America,95.14,73.78,0.09,33.0,75.3,71.4
The University of Osaka,Japan,93.31,64.0,0.1,12.0,90.5,64.36
Uppsala University,Sweden,93.79,72.0,0.09,18.0,74.7,68.78
Durham University,United Kingdom,92.62,64.92,0.08,34.0,74.1,60.52
University of Alberta,Canada,93.96,74.88,0.05,28.0,70.9,74.2
University of Technology Sydney,Australia,93.2,81.43,0.03,26.0,58.7,85.0
Karlsruhe Institute of Technology (KIT),Germany,92.71,72.05,0.04,25.0,57.1,73.06
Politecnico di Milano,Italy,91.58,65.15,0.05,23.0,83.4,62.9
University of Copenhagen,Denmark,94.38,69.52,0.24,14.0,85.5,62.94
Pohang University of Science And Technology (POSTECH),Republic of Korea,93.14,64.15,0.11,7.0,61.3,70.98
Nanjing University,China (Mainland),94.93,79.95,0.07,10.0,72.1,83.76
Lomonosov Moscow State University,Russian Federation,93.24,49.22,0.1,38.0,83.7,40.84
Technical University of Denmark,Denmark,93.45,76.78,0.11,37.0,44.8,79.6
Tohoku University,Japan,93.75,57.3,0.08,13.0,84.5,52.94
Queen Mary University of London (QMUL),United Kingdom,92.97,78.4,0.07,46.0,63.6,79.4
University of Wisconsin-Madison,United States of America,94.89,68.45,0.09,15.0,85.7,60.38
Qatar University,Qatar,90.97,72.52,0.12,38.0,43.3,72.68
University of St Andrews,United Kingdom,92.24,65.12,0.08,49.0,61.5,62.36
Aalto University,Finland,91.47,70.7,0.05,26.0,57.5,72.48
"University of California, Davis",United States of America,94.51,77.15,0.07,22.0,72.7,75.02
Pontificia Universidad Católica de Chile,Chile,85.13,48.98,0.07,6.0,98.0,42.02
University of Helsinki,Finland,93.52,76.55,0.06,7.0,74.5,73.78
University College Dublin,Ireland,90.71,69.18,0.05,35.0,66.5,67.74
Leiden University,Netherlands,94.2,79.02,0.06,22.0,80.4,76.2
Rice University,United States of America,93.44,70.7,0.1,31.0,50.6,72.88
University of Oslo,Norway,93.18,76.82,0.09,18.0,67.8,75.0
University of Waterloo,Canada,92.05,75.7,0.04,21.0,53.0,78.22
Georgia Institute of Technology,United States of America,94.7,74.85,0.04,32.0,76.0,70.72
RMIT University,Australia,89.44,73.27,0.04,38.0,55.1,76.88
Sungkyunkwan University,Republic of Korea,93.55,63.18,0.06,22.0,68.4,63.0
Universiti Kebangsaan Malaysia (UKM),Malaysia,87.56,53.58,0.09,31.0,76.2,48.88
Sapienza University of Rome,Italy,91.52,71.43,0.04,7.0,90.7,69.72
Aarhus University,Denmark,93.05,78.27,0.08,12.0,68.3,77.44
University of Bath,United Kingdom,89.28,69.32,0.06,29.0,48.9,70.64
University of Science and Technology of China,China (Mainland),94.17,83.15,0.12,5.0,57.6,86.4
