University,Country,QS_Rank,Overall_Score_QS,Academic_Reputation,Employer_Reputation,Citations_per_Faculty,Faculty_Student_Ratio,International_Students,THE_Rank,Overall_Score,Teaching,Research,Citations,Industry_Income,International_Outlook,Global Ranking Score,Research Impact Score,Teaching Quality Score,Ranking KPI,Research KPI,Teaching KPI,Overall KPI Score,KPI Rank,Performance Category
Stanford University,United States of America,3.0,98.9,100.0,100.0,99.7,100.0,25.0,5.0,97.151,97.5,97.4,99.5,100.0,83.9,99.78,98.87,98.75,99.78,98.87,99.0,99.27,1,Excellent
Harvard University,United States of America,5.0,97.7,100.0,100.0,100.0,98.3,27.0,6.0,97.051,95.9,100.0,98.9,86.7,88.3,99.68,99.63,97.1,99.68,99.63,97.0,98.86,2,Excellent
University of Oxford,United Kingdom,4.0,97.9,100.0,100.0,91.0,100.0,43.0,1.0,98.21,97.2,100.0,97.7,99.9,96.4,99.83,96.23,98.6,99.83,96.23,99.0,98.5,3,Excellent
University of Cambridge,United Kingdom,6.0,97.2,100.0,100.0,88.6,100.0,38.0,4.0,97.2064999999999,96.2,99.9,97.1,87.6,96.3,99.69,95.2,98.1,99.69,95.2,98.0,97.84,4,Excellent
Tsinghua University,China (Mainland),17.0,91.2,99.9,99.7,99.6,97.1,11.0,12.0,93.0304999999999,95.9,98.5,93.9,100.0,53.4,99.12,97.33,96.5,99.12,97.33,96.0,97.65,5,Excellent
Imperial College London,United Kingdom,2.0,99.4,99.6,100.0,95.0,99.3,60.0,8.0,94.689,90.6,94.9,98.0,91.9,98.2,99.74,95.97,94.95,99.74,95.97,95.0,97.19,6,Excellent
Peking University,China (Mainland),14.0,92.6,99.9,99.6,99.2,96.2,15.0,13.0,92.2815,95.4,97.9,89.0,100.0,67.3,99.2,95.37,95.8,99.2,95.37,96.0,97.09,7,Excellent
Yale University,United States of America,21.0,90.4,100.0,100.0,64.8,100.0,24.0,10.0,94.081,94.6,94.5,97.2,87.6,81.4,99.02,85.5,97.3,99.02,85.5,97.0,94.36,8,Excellent
Johns Hopkins University,United States of America,24.0,89.7,93.2,79.2,85.8,100.0,34.0,16.0,90.0604999999999,84.6,89.9,96.3,100.0,81.9,98.77,90.67,92.3,98.77,90.67,92.0,94.31,9,Excellent
Princeton University,United States of America,25.0,89.4,100.0,99.8,100.0,67.3,23.0,3.0,97.211,98.2,97.3,99.0,98.0,85.4,99.04,98.77,82.75,99.04,98.77,83.0,94.15,10,Excellent
University of Pennsylvania,United States of America,15.0,92.5,98.9,98.7,72.0,99.9,26.0,14.0,90.8024999999999,88.1,90.3,96.1,97.9,78.4,99.14,86.13,94.0,99.14,86.13,94.0,93.7,11,Excellent
The University of Tokyo,Japan,36.0,85.8,100.0,99.9,69.9,92.4,18.0,26.0,83.5244999999999,94.7,94.2,68.2,100.0,50.8,98.12,77.43,93.55,98.12,77.43,94.0,90.68,12,Excellent
Cornell University,United States of America,16.0,91.6,99.5,98.8,98.0,64.3,26.0,19.0,89.4589999999999,85.9,90.6,95.9,70.3,83.5,98.99,94.83,75.1,98.99,94.83,75.0,90.54,13,Excellent
Columbia University,United States of America,38.0,85.6,99.9,99.9,44.5,100.0,42.0,20.0,89.4025,87.8,87.8,95.9,74.8,83.7,98.18,76.07,93.9,98.18,76.07,94.0,90.29,14,Excellent
Northwestern University,United States of America,42.0,85.1,92.2,89.4,71.2,99.1,24.0,30.0,81.869,73.2,76.0,96.9,96.0,71.0,97.81,81.37,86.15,97.81,81.37,86.0,89.34,15,Very Good
Fudan University,China (Mainland),30.0,88.4,93.7,95.1,92.8,84.8,10.0,36.0,79.2785,79.5,77.1,84.8,99.8,53.8,98.1,84.9,82.15,98.1,84.9,82.0,89.31,16,Very Good
University of Science and Technology of China,China (Mainland),132.0,64.2,57.6,50.6,99.4,98.1,5.0,51.0,75.6435,72.9,69.8,89.0,98.9,43.2,94.11,86.07,85.5,94.11,86.07,86.0,89.26,17,Very Good
University of Michigan-Ann Arbor,United States of America,45.0,84.7,99.3,98.5,54.5,85.7,19.0,23.0,86.9295,85.7,87.3,93.8,81.4,65.8,97.86,78.53,85.7,97.86,78.53,86.0,88.5,18,Very Good
Technical University of Munich,Germany,22.0,90.2,92.0,99.7,92.6,70.5,45.0,27.0,83.4474999999999,71.9,84.8,91.3,100.0,83.4,98.59,89.57,71.2,98.59,89.57,71.0,87.61,19,Very Good
Duke University,United States of America,62.0,79.0,92.9,91.0,47.1,100.0,25.0,28.0,82.9195,78.7,74.2,95.4,100.0,74.2,97.14,72.23,89.35,97.14,72.23,89.0,87.22,20,Very Good
Institut Polytechnique de Paris,France,41.0,85.4,58.1,99.8,97.3,94.8,43.0,69.0,71.6434999999999,71.8,62.4,70.9,99.1,95.1,96.95,76.87,83.3,96.95,76.87,83.0,86.74,21,Very Good
Seoul National University,Republic of Korea,38.0,85.6,99.7,99.1,81.2,85.6,16.0,59.0,74.094,74.1,74.8,77.6,100.0,43.5,97.29,77.87,79.85,97.29,77.87,80.0,86.28,22,Very Good
Shanghai Jiao Tong University,China (Mainland),47.0,84.3,92.7,93.8,100.0,64.5,11.0,40.0,77.5695,75.4,79.1,80.2,100.0,57.7,97.4,86.43,69.95,97.4,86.43,70.0,85.89,23,Very Good
The Chinese University of Hong Kong,"Hong Kong SAR, China",32.0,87.4,94.2,67.3,95.0,75.9,25.0,44.0,77.0595,63.2,63.8,97.9,90.9,92.1,97.84,85.57,69.55,97.84,85.57,70.0,85.81,24,Very Good
City University of Hong Kong,"Hong Kong SAR, China",63.0,78.9,75.5,46.7,100.0,94.8,76.0,73.0,71.1404999999999,56.5,52.7,92.7,100.0,98.4,96.07,81.8,75.65,96.07,81.8,76.0,85.77,25,Very Good
Carnegie Mellon University,United States of America,52.0,82.3,80.1,94.4,98.6,51.1,50.0,24.0,84.959,72.7,83.0,99.0,85.5,84.3,97.59,93.53,61.9,97.59,93.53,62.0,85.7,26,Very Good
Kyoto University,Japan,57.0,80.2,99.7,99.3,50.9,94.3,11.0,61.0,73.961,86.4,82.7,56.9,100.0,45.6,96.56,63.5,90.35,96.56,63.5,90.0,84.67,27,Very Good
Brown University,United States of America,69.0,76.2,72.4,64.3,82.2,84.5,22.0,65.0,72.5865,70.0,61.0,87.4,69.6,69.9,96.04,76.87,77.25,96.04,76.87,77.0,84.58,28,Very Good
University of Edinburgh,United Kingdom,34.0,87.2,99.6,98.2,54.3,77.3,49.0,29.0,82.4895,75.7,74.7,94.8,71.0,96.2,98.12,74.6,76.5,98.12,74.6,76.0,84.43,29,Very Good
Zhejiang University,China (Mainland),49.0,84.0,87.0,97.2,100.0,53.0,14.000000000000002,39.0,78.3135,75.0,78.4,84.3,100.0,55.5,97.35,87.57,64.0,97.35,87.57,64.0,84.41,30,Very Good
