qs_2026 Rank,qs_Previous Rank,qs_Institution Name,qs_Country/Territory,qs_Region,qs_Size,qs_Focus,qs_Research,qs_Status,qs_AR SCORE,qs_AR RANK,qs_ER SCORE,qs_ER RANK,qs_FSR SCORE,qs_FSR RANK,qs_CPF SCORE,qs_CPF RANK,qs_IFR SCORE,qs_IFR RANK,qs_ISR SCORE,qs_ISR RANK,qs_ISD SCORE,qs_ISD RANK,qs_IRN SCORE,qs_IRN RANK,qs_EO SCORE,qs_EO RANK,qs_SUS SCORE,qs_SUS RANK,qs_Overall SCORE,qs_2026_rank_original,qs_2026_rank,qs_2026_rank_display,qs_overall_score,qs_overall_score_available,qs_university_key,the_Rank,the_Name,the_Country,the_Student Population,the_Students to Staff Ratio,the_International Students,the_Female to Male Ratio,the_Overall Score,the_Teaching,the_Research Environment,the_Research Quality,the_Industry Impact,the_International Outlook,the_Year,the_rank,the_female_to_male_ratio_clean,the_female_to_male_ratio_original,the_university_key,match_type,match_similarity,country_match,qs_Institution Name_original,the_Name_original,qs_university_key_clean,the_university_key_clean
1.0,1.0,Massachusetts Institute of Technology (MIT),United States of America,Americas,M,CO,VH,Private not for Profit,100.0,4.0,100.0,2.0,100.0,16.0,100.0,7.0,100.0,63.0,91.6,153.0,92.3,130.0,94.1,98.0,100.0,7.0,93.8,33.0,100,1,1.0,1,100.0,True,massachusetts institute of technology,2.0,Massachusetts Institute of Technology,United States of America,11703.0,7.7,0.33,"1 day, 19:57:00",97.6734999999999,99.2,95.3,99.6,100.0,91.9,2026.0,2.0,43.0,"1 day, 19:57:00",massachusetts institute of technology,exact_name_country,100.0,True,Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology,massachusetts institute of technology,massachusetts institute of technology
2.0,2.0,Imperial College London,United Kingdom,Europe,L,FO,VH,Public,99.6,22.0,100.0,9.0,99.3,42.0,95.0,69.0,100.0,74.0,100.0,35.0,100.0,22.0,97.5,28.0,95.9,68.0,98.3,,99.4,2,2.0,2,99.4,True,imperial college london,8.0,Imperial College London,United Kingdom,21340.0,12.1,0.6,"1 day, 19:57:00",94.689,90.6,94.9,98.0,91.9,98.2,2026.0,8.0,43.0,"1 day, 19:57:00",imperial college london,exact_name_country,100.0,True,Imperial College London,Imperial College London,imperial college london,imperial college london
3.0,6.0,Stanford University,United States of America,Americas,L,FC,VH,Private not for Profit,100.0,5.0,100.0,3.0,100.0,17.0,99.7,24.0,94.2,188.0,73.5,261.0,76.1,230.0,96.5,49.0,100.0,2.0,95.4,,98.9,3,3.0,3,98.9,True,stanford university,5.0,Stanford University,United States of America,17422.0,5.9,0.25,"2 days, 0:52:00",97.151,97.5,97.4,99.5,100.0,83.9,2026.0,5.0,48.0,"2 days, 0:52:00",stanford university,exact_name_country,100.0,True,Stanford University,Stanford University,stanford university,stanford university
4.0,3.0,University of Oxford,United Kingdom,Europe,L,FC,VH,Public,100.0,2.0,100.0,4.0,100.0,9.0,91.0,98.0,98.8,132.0,98.6,80.0,98.7,67.0,100.0,1.0,100.0,3.0,77.9,,97.9,4,4.0,4,97.9,True,university of oxford,1.0,University of Oxford,United Kingdom,22005.0,10.4,0.43,"2 days, 4:48:00",98.21,97.2,100.0,97.7,99.9,96.4,2026.0,1.0,52.0,"2 days, 4:48:00",university of oxford,exact_name_country,100.0,True,University of Oxford,University of Oxford,university of oxford,university of oxford
5.0,4.0,Harvard University,United States of America,Americas,L,FC,VH,Private not for Profit,100.0,1.0,100.0,1.0,98.3,50.0,100.0,1.0,79.1,300.0,81.4,217.0,60.6,335.0,99.4,8.0,100.0,1.0,77.8,,97.7,5,5.0,5,97.7,True,harvard university,6.0,Harvard University,United States of America,22680.0,10.1,0.27,"2 days, 5:47:00",97.051,95.9,100.0,98.9,86.7,88.3,2026.0,6.0,53.0,"2 days, 5:47:00",harvard university,exact_name_country,100.0,True,Harvard University,Harvard University,harvard university,harvard university
6.0,5.0,University of Cambridge,United Kingdom,Europe,L,FC,VH,Public,100.0,3.0,100.0,5.0,100.0,23.0,88.6,107.0,100.0,80.0,93.1,144.0,93.6,120.0,99.2,12.0,100.0,5.0,78.4,194.0,97.2,6,6.0,6,97.2,True,university of cambridge,4.0,University of Cambridge,United Kingdom,21045.0,11.3,0.38,"2 days, 2:50:00",97.2064999999999,96.2,99.9,97.1,87.6,96.3,2026.0,4.0,50.0,"2 days, 2:50:00",university of cambridge,exact_name_country,100.0,True,University of Cambridge,University of Cambridge,university of cambridge,university of cambridge
7.0,7.0,ETH Zurich (Swiss Federal Institute of Technology),Switzerland,Europe,L,FO,VH,Public,99.7,18.0,96.3,42.0,71.7,214.0,98.8,40.0,100.0,28.0,99.3,58.0,73.9,241.0,95.8,64.0,95.0,76.0,99.6,2.0,96.7,7,7.0,7,96.7,True,eth zurich,11.0,ETH Zurich,Switzerland,23106.0,15.5,0.44,33 : 67,93.1259999999999,88.5,97.2,94.5,83.7,95.1,2026.0,11.0,33.0,33 : 67,eth zurich,exact_name_country,100.0,True,ETH Zurich (Swiss Federal Institute of Technology),ETH Zurich,eth zurich,eth zurich
8.0,8.0,National University of Singapore (NUS),Singapore,Asia,XL,FC,VH,Public,99.9,14.0,98.2,32.0,71.5,216.0,95.9,64.0,100.0,37.0,96.9,101.0,72.1,253.0,92.4,140.0,100.0,9.0,90.0,,95.9,8,8.0,8,95.9,True,national university of singapore,17.0,National University of Singapore,Singapore,35558.0,21.0,0.31,"2 days, 1:51:00",89.6719999999999,78.6,93.1,95.1,99.9,92.8,2026.0,17.0,49.0,"2 days, 1:51:00",national university of singapore,exact_name_country,100.0,True,National University of Singapore (NUS),National University of Singapore,national university of singapore,national university of singapore
9.0,9.0,UCL (University College London),United Kingdom,Europe,XL,FC,VH,Public,99.9,15.0,99.4,18.0,94.8,77.0,80.9,151.0,99.6,108.0,100.0,27.0,100.0,17.0,99.9,2.0,89.3,111.0,98.5,,95.8,9,9.0,9,95.8,True,ucl,22.0,UCL,United Kingdom,47520.0,12.1,0.63,"2 days, 12:40:00",87.4425,77.8,85.9,97.6,74.7,97.5,2026.0,22.0,60.0,"2 days, 12:40:00",ucl,exact_name_country,100.0,True,UCL (University College London),UCL,ucl,ucl
10.0,10.0,California Institute of Technology (Caltech),United States of America,Americas,S,FO,VH,Private not for Profit,98.3,33.0,99.2,23.0,100.0,5.0,100.0,3.0,100.0,65.0,90.7,161.0,91.4,136.0,61.8,665.0,49.1,352.0,79.2,185.0,94.3,10,10.0,10,94.3,True,california institute of technology,7.0,California Institute of Technology,United States of America,2401.0,6.7,0.33,39 : 61,96.3164999999999,96.4,97.4,96.8,100.0,87.9,2026.0,7.0,39.0,39 : 61,california institute of technology,exact_name_country,100.0,True,California Institute of Technology (Caltech),California Institute of Technology,california institute of technology,california institute of technology
