Name,Country,Region,QS Rank,QS Overall Score,QS Academic Reputation,QS Employer Reputation,QS Faculty Student Ratio,QS Citations per Faculty,QS International Faculty,QS International Students,QS Student Diversity,QS Research Network,QS Employment Outcomes,QS Sustainability,THE Rank,THE Overall Score,THE Student Population,THE Student Staff Ratio,THE International Students,THE Female Male Ratio,THE Teaching,THE Research Environment,THE Research Quality,THE Industry Impact,THE International Outlook,Year
imperial college london,united kingdom,Europe,2,99.4,99.6,100.0,99.3,95.0,100.0,100.0,100.0,97.5,95.9,98.3,8.0,89.1,15060.0,11.7,51%,37 : 63,83.3,88.5,96.7,53.7,96.0,2016
imperial college london,united kingdom,Europe,2,99.4,99.6,100.0,99.3,95.0,100.0,100.0,100.0,97.5,95.9,98.3,8.0,90.015,15235.0,11.3,52%,37 : 63,86.4,86.6,97.3,67.5,96.5,2017
imperial college london,united kingdom,Europe,2,99.4,99.6,100.0,99.3,95.0,100.0,100.0,100.0,97.5,95.9,98.3,8.0,89.165,15855.0,11.4,55%,37 : 63,81.7,88.7,96.7,71.6,96.6,2018
imperial college london,united kingdom,Europe,2,99.4,99.6,100.0,99.3,95.0,100.0,100.0,100.0,97.5,95.9,98.3,9.0,90.355,16425.0,11.6,56%,38 : 62,85.8,87.7,97.8,67.3,97.1,2019
imperial college london,united kingdom,Europe,2,99.4,99.6,100.0,99.3,95.0,100.0,100.0,100.0,97.5,95.9,98.3,10.0,89.75999999999999,16760.0,11.6,56%,38 : 62,84.5,87.6,97.0,69.9,97.1,2020
imperial college london,united kingdom,Europe,2,99.4,99.6,100.0,99.3,95.0,100.0,100.0,100.0,97.5,95.9,98.3,11.0,89.355,17175.0,11.6,58%,39 : 61,82.3,88.2,97.2,69.6,97.4,2021
imperial college london,united kingdom,Europe,2,99.4,99.6,100.0,99.3,95.0,100.0,100.0,100.0,97.5,95.9,98.3,12.0,89.2725,17715.0,11.2,59%,40 : 60,81.4,88.3,97.6,70.8,97.5,2022
imperial college london,united kingdom,Europe,2,99.4,99.6,100.0,99.3,95.0,100.0,100.0,100.0,97.5,95.9,98.3,10.0,90.3775,18545.0,11.2,61%,40 : 60,82.8,90.8,98.3,59.8,97.5,2023
imperial college london,united kingdom,Europe,2,99.4,99.6,100.0,99.3,95.0,100.0,100.0,100.0,97.5,95.9,98.3,8.0,95.099,20275.0,11.8,61%,42:58:00,90.9,95.5,98.6,90.9,98.3,2024
imperial college london,united kingdom,Europe,2,99.4,99.6,100.0,99.3,95.0,100.0,100.0,100.0,97.5,95.9,98.3,9.0,94.419,21000.0,12.1,60%,43 : 57,89.3,94.9,98.5,90.8,98.3,2025
imperial college london,united kingdom,Europe,2,99.4,99.6,100.0,99.3,95.0,100.0,100.0,100.0,97.5,95.9,98.3,8.0,94.689,"21,340",12.1,60%,43 : 57,90.6,94.9,98.0,91.9,98.2,2026
university of oxford,united kingdom,Europe,4,97.9,100.0,100.0,100.0,91.0,98.8,98.6,98.7,100.0,100.0,77.9,2.0,94.2,19920.0,11.6,34%,46:54:00,86.5,98.9,98.8,73.1,94.4,2016
university of oxford,united kingdom,Europe,4,97.9,100.0,100.0,100.0,91.0,98.8,98.6,98.7,100.0,100.0,77.9,1.0,95.02,19720.0,10.9,35%,46:54:00,89.6,99.1,99.2,62.5,94.5,2017
university of oxford,united kingdom,Europe,4,97.9,100.0,100.0,100.0,91.0,98.8,98.6,98.7,100.0,100.0,77.9,1.0,94.3075,20410.0,11.2,38%,46:54:00,86.7,99.5,99.1,63.7,95.0,2018
university of oxford,united kingdom,Europe,4,97.9,100.0,100.0,100.0,91.0,98.8,98.6,98.7,100.0,100.0,77.9,1.0,96.0175,20300.0,11.0,40%,46:54:00,91.8,99.5,99.1,67.0,96.3,2019
