Name,Country,Region,QS Rank,QS Overall Score,Academic Reputation SCORE,Employer Reputation SCORE,Faculty Student Ratio SCORE,Citations per Faculty SCORE,International Faculty  SCORE,International Student SCORE,International Students Diversity SCORE,International Research Network SCORE,Employment Outcomes SCORE,Sustainability SCORE,THE Rank,THE Overall Score,THE Student Population,THE Student Staff Ratio,THE International Students,THE Female Male Ratio,THE Teaching,THE Research Environment,THE Research Quality,THE Industry Impact,THE International Outlook,Year
imperial college london,united kingdom,Europe,2,99.4,99.6,100,99.3,95,100,100,100,97.5,95.9,98.3,8,94.689,"21,340",12.1,60%,43:57:00,90.6,94.9,98,91.9,98.2,2026
university of oxford,united kingdom,Europe,4,97.9,100,100,100,91,98.8,98.6,98.7,100,100,77.9,1,98.21,"22,005",10.4,43%,52:48:00,97.2,100,97.7,99.9,96.4,2026
university of cambridge,united kingdom,Europe,6,97.2,100,100,100,88.6,100,93.1,93.6,99.2,100,78.4,4,97.2065,"21,045",11.3,38%,50:50:00,96.2,99.9,97.1,87.6,96.3,2026
eth zurich,switzerland,Europe,7,96.7,99.7,96.3,71.7,98.8,100,99.3,73.9,95.8,95,99.6,11,93.126,"23,106",15.5,44%,33 : 67,88.5,97.2,94.5,83.7,95.1,2026
national university of singapore,singapore,Asia,8,95.9,99.9,98.2,71.5,95.9,100,96.9,72.1,92.4,100,90,17,89.672,"35,558",21,31%,49:51:00,78.6,93.1,95.1,99.9,92.8,2026
ucl,united kingdom,Europe,9,95.8,99.9,99.4,94.8,80.9,99.6,100,100,99.9,89.3,98.5,22,87.4425,"47,520",12.1,63%,60:40:00,77.8,85.9,97.6,74.7,97.5,2026
nanyang technological university singapore,singapore,Asia,12,93.7,97.1,91.4,83.9,94.6,100,93.1,93.6,86.9,87.7,87.2,31,81.64,"25,859",17.3,31%,47:53:00,65.8,78.1,95.2,100,93.6,2026
university of melbourne,australia,Oceania,19,90.8,99.7,97.4,20.5,94.8,96.7,100,74.4,96.9,98.3,98.2,37,79.0485,"51,622",23.3,51%,58:42:00,67.7,75.5,87.8,99.3,91.6,2026
école polytechnique fédérale de lausanne,switzerland,Europe,22,90.2,92.7,88,90,93.1,100,100,100,83.6,47.3,85.3,35,79.6155,"13,306",13.3,64%,31 : 69,73.5,70.8,87.5,99.9,95.4,2026
technical university of munich,germany,Europe,22,90.2,92,99.7,70.5,92.6,86.3,98.9,98.9,95.9,57.3,87.8,27,83.4475,"35,755",40.7,45%,37 : 63,71.9,84.8,91.3,100,83.4,2026
university of sydney,australia,Oceania,25,89.4,98.9,94.2,15.7,94.3,99.9,100,100,95.5,95.8,97.6,53,75.06,"51,531",22.4,53%,Unknown,59.2,67.5,91.5,98.9,88.2,2026
mcgill university,canada,Americas,27,88.9,98.1,93.5,67.3,72.4,88.6,93.5,69.6,92.9,98.9,96.3,41,77.127,"30,196",11.7,29%,61:39:00,71,70.8,86.2,77.5,89.2,2026
university of toronto,canada,Americas,29,88.5,100,99.1,45.7,68.8,97.9,97.9,98,97,99.4,100,21,88.4545,"80,394",25.1,39%,56:44:00,78.2,92.9,92.3,95.8,92.3,2026
australian national university,australia,Oceania,32,87.4,97.9,82.6,40.9,91.7,100,99,99.1,93.1,67.1,91.8,74,71.1075,"17,243",13.3,51%,54:46:00,56.7,62.6,85.7,86.3,94.2,2026
university of edinburgh,united kingdom,Europe,34,87.2,99.6,98.2,77.3,54.3,99.7,99.9,99.9,99.5,69.7,98.3,29,82.4895,"35,350",11.3,49%,62:38:00,75.7,74.7,94.8,71,96.2,2026
university of manchester,united kingdom,Europe,35,86.4,98.6,98.8,58.2,56.8,95.3,99.5,99.5,99.4,91.9,98.2,56,74.9325,"43,470",14.9,46%,57:43:00,61.2,65.9,92.4,74,94.5,2026
monash university,australia,Oceania,36,85.8,95.7,87.5,11.3,93,100,100,100,94.7,86.7,91.7,60,74.09,"56,287",30.6,36%,54:46:00,54.3,65.5,94,99.6,91.9,2026
university of tokyo,japan,Asia,36,85.8,100,99.9,92.4,69.9,15.9,44,49.2,88.8,100,92.3,26,83.5245,"26,298",10.2,18%,Unknown,94.7,94.2,68.2,100,50.8,2026
university of british columbia,canada,Americas,40,85.5,99.6,96.5,34.7,70.9,98.5,79.8,81.7,96.6,84.9,98.5,45,77.029,"60,112",18.7,34%,55:45:00,64.1,73.9,88.6,77.4,93.5,2026
institut polytechnique de paris,france,Europe,41,85.4,58.1,99.8,94.8,97.3,99.9,99.2,99.2,93,99.1,77.9,69,71.6435,"6,217",7.6,43%,1.011805556,71.8,62.4,70.9,99.1,95.1,2026
university of queensland,australia,Oceania,42,85.1,94.3,79.5,26.5,94.2,100,100,100,97,66.6,92.5,81,69.7005,"41,295",23.6,43%,54:46:00,50.9,60.9,87.6,97.6,91.2,2026
delft university of technology,netherlands,Europe,47,84.3,86.2,90.4,49.1,84.6,100,94.8,95.1,93.8,66,96.3,57,74.246,"21,410",14.8,35%,32 : 68,64.1,75.1,75.5,100,92.1,2026
university of bristol,united kingdom,Europe,51,82.5,87.3,89.4,36.7,83.2,90.7,95.7,96,95.3,63.1,97,80,69.737,"29,680",14.2,35%,56:44:00,51.4,56.5,94.4,74.6,91.8,2026
university of amsterdam,netherlands,Europe,53,81.5,92.5,72.6,27.5,87.2,98.8,95.8,71.3,95.1,90.3,64,62,73.7445,"31,035",12.6,39%,60:40:00,55.4,63.6,96.6,76,92.5,2026
london school of economics and political science,united kingdom,Europe,56,80.5,80.6,99.4,47.2,64,100,100,100,76.4,99.9,92.7,52,75.4525,"12,625",12.3,72%,57:43:00,60.5,71.2,93.4,46.8,94.2,2026
kyoto university,japan,Asia,57,80.2,99.7,99.3,94.3,50.9,22.9,29.2,35.1,85.5,85.9,84,61,73.961,"21,617",9,11%,25 : 75,86.4,82.7,56.9,100,45.6,2026
ku leuven,belgium,Europe,60,79.7,93,63.5,9.6,94.7,95.8,65.1,48.5,99.5,83.5,94.7,46,76.8155,"50,336",37.1,21%,52:48:00,61.3,73.8,91.3,100,79.2,2026
national taiwan university,taiwan,Asia,63,78.9,97.7,94.2,38.8,70.9,25.3,59.2,63.1,67.1,100,88.4,141,62.464,"18,743",9.7,24%,44:56:00,59.4,54.9,68.6,100,59.2,2026
university of auckland,new zealand,Oceania,65,77.5,91.7,55.2,17.6,79.1,100,95.5,95.8,88.8,96.9,95.7,158,61.428,"33,639",23.3,33%,55:45:00,40.4,46.8,85.7,92.2,87.2,2026
king fahd university of petroleum and minerals,saudi arabia,Asia,67,76.5,53.5,75.6,92.4,93.2,100,76.2,76.6,81,97.8,62.7,186,59.69,"5,960",8.3,28%,26 : 74,36.3,43.2,85.7,94.4,92.9,2026
université paris saclay,france,Europe,70,75.9,75.3,99.4,99.9,42.4,45.9,72.7,75.4,98.5,82.9,92.7,68,71.6445,"32,807",14,25%,50:50:00,67.9,62.2,80.6,92.4,76,2026
lund university,sweden,Europe,72,75.7,80.1,64.1,68.1,56.6,98.8,82,83.7,97.1,96.1,98.8,96,66.5655,"23,748",10.2,22%,56:44:00,49.1,56.7,85.7,99.7,79.2,2026
sorbonne university,france,Europe,72,75.7,93.2,62.1,56.4,68.8,35.5,66.8,70,99.4,84.2,89.2,76,70.394,"38,923",13.6,23%,61:39:00,67.6,59.2,81.6,73.1,78.4,2026
university of warwick,united kingdom,Europe,74,75.2,82.7,93,48.3,43.6,99.5,99.2,99.3,93.8,75.3,84.6,123,64.1125,"26,515",13.2,44%,50:50:00,48.1,49.3,85.6,69.4,95.6,2026
university of birmingham,united kingdom,Europe,76,73.8,81.1,75.7,49.9,56.1,96.7,93.4,93.9,96.3,54.7,92.8,100,66.258,"34,145",14.6,35%,56:44:00,47.7,48.4,93.7,74.2,94.3,2026
university of western australia,australia,Oceania,77,73.7,69,56.5,15.1,99.2,100,100,100,93.2,82.6,83.7,154,61.7165,"19,880",23.6,30%,51:49:00,38.7,45.1,87.6,98.4,93.4,2026
kth royal institute of technology,sweden,Europe,78,73.6,60.2,62.1,68.3,88.2,95.6,81.8,60.9,91.7,72.7,89.8,99,66.277,"15,263",18.2,28%,31 : 69,51.1,57.3,79.7,97.2,90.5,2026
university of glasgow,united kingdom,Europe,79,73.4,88.3,73.5,50.3,44.8,98,99.1,99.1,97,44.5,95.4,84,68.9255,"34,075",13.4,45%,60:40:00,50.6,52.2,95.9,73.2,95.5,2026
adelaide university,australia,Oceania,82,72.6,78.3,62.7,30.5,69.8,100,97.5,72.5,96.7,70.4,86.1,134,63.0525,"43,623",30.4,27%,55:45:00,38.3,48.9,89.5,99.7,89.8,2026
university of leeds,united kingdom,Europe,86,72,81.8,82.1,39.7,48.8,89.7,96.3,96.5,99.2,62.9,76.4,118,64.8795,"35,600",14.4,39%,60:40:00,48.3,50.3,87.2,71.6,93.6,2026
university of southampton,united kingdom,Europe,87,71.2,62.6,55.9,40.1,87.8,96.8,98.6,98.6,97.4,58.6,95.1,129,63.3345,"24,355",14.3,46%,54:46:00,44.6,45.4,89.6,73.1,96.1,2026
university of osaka,japan,Asia,91,71,90.5,90,45.6,65.8,25.2,21.1,27.2,72,51.4,79.5,152,61.844,"22,367",10.4,12%,33 : 67,65.9,64.9,53.3,100,47.9,2026
university of sheffield,united kingdom,Europe,92,70.9,73,61.7,50.3,68.4,81.6,98,98.1,96.8,47.9,94.3,111,65.3465,"29,305",15.2,41%,53:47:00,49.7,49.1,88.3,79.4,90.4,2026
uppsala university,sweden,Europe,93,70.3,74.7,48.1,66.3,55.9,99.7,82.9,84.5,95.9,82.9,94.4,128,63.4565,"20,953",10.9,18%,59:41:00,47.4,54.9,81.3,95,71.5,2026
durham university,united kingdom,Europe,94,70.1,74.1,91.9,37.3,42.9,99.2,94.5,94.9,90.9,53.6,95.2,177,60.262,"21,470",13.2,34%,54:46:00,45.2,44.9,81,62.8,94.6,2026
university of alberta,canada,Americas,94,70.1,70.9,53,44.6,71.5,99.4,78.6,80.6,94.5,77.1,90.7,119,64.6105,"33,938",21.6,28%,Unknown,49.1,55.4,78.1,100,88.4,2026
university of technology sydney,australia,Oceania,96,69.9,58.7,66.7,11.8,99.3,97.6,91.7,92.3,89.7,52.3,92,149,61.9555,"29,729",37.7,26%,51:49:00,36.8,42.6,94.1,88.7,92.9,2026
