QS_Rank,QS_Previous_Rank,University,Country,QS_Region,QS_Size,QS_Focus,QS_Research,QS_Status,QS_Academic_Reputation_Score,QS_Academic_Reputation_Rank,QS_Employer_Reputation_Score,QS_Employer_Reputation_Rank,QS_Faculty_Student_Ratio_Score,QS_Faculty_Student_Ratio_Rank,QS_Citations_per_Faculty_Score,QS_Citations_per_Faculty_Rank,QS_International_Faculty_Score,QS_International_Faculty_Rank,QS_International_Student_Score,QS_International_Student_Rank,QS_International_Students_Diversity_Score,QS_International_Students_Diversity_Rank,QS_International_Research_Network_Score,QS_International_Research_Network_Rank,QS_Employment_Outcomes_Score,QS_Employment_Outcomes_Rank,QS_Sustainability_Score,QS_Sustainability_Rank,QS_Overall_Score,Ranking_Source,THE_Student_Population,THE_Students_to_Staff_Ratio,THE_International_Students_Percentage,THE_Female_to_Male_Ratio,THE_Overall_Score,THE_Teaching,THE_Research_Environment,THE_Research_Quality,THE_Industry_Impact,THE_International_Outlook,Year,Ranking_Status
1.0,1.0,Massachusetts Institute of Technology (MIT),United States,Americas,M,CO,VH,Private not for Profit,100.0,4.0,100.0,2.0,100.0,16.0,100.0,7.0,100.0,63.0,91.6,153.0,92.3,130.0,94.1,,100.0,7.0,93.8,33.0,100.0,QS,,,,,,,,,,,,Ranked
2.0,2.0,Imperial College London,United Kingdom,Europe,L,FO,VH,Public,99.6,22.0,100.0,9.0,99.3,42.0,95.0,69.0,100.0,74.0,100.0,35.0,100.0,22.0,97.5,,95.9,68.0,98.3,,99.4,QS,,,,,,,,,,,,Ranked
3.0,6.0,Stanford University,United States,Americas,L,FC,VH,Private not for Profit,100.0,5.0,100.0,3.0,100.0,17.0,99.7,24.0,94.2,188.0,73.5,261.0,76.1,230.0,96.5,,100.0,2.0,95.4,,98.9,QS,,,,,,,,,,,,Ranked
4.0,3.0,University of Oxford,United Kingdom,Europe,L,FC,VH,Public,100.0,2.0,100.0,4.0,100.0,9.0,91.0,98.0,98.8,132.0,98.6,80.0,98.7,67.0,100.0,,100.0,3.0,77.9,,97.9,QS,,,,,,,,,,,,Ranked
5.0,4.0,Harvard University,United States,Americas,L,FC,VH,Private not for Profit,100.0,1.0,100.0,1.0,98.3,50.0,100.0,1.0,79.1,300.0,81.4,217.0,60.6,335.0,99.4,,100.0,1.0,77.8,,97.7,QS,,,,,,,,,,,,Ranked
6.0,5.0,University of Cambridge,United Kingdom,Europe,L,FC,VH,Public,100.0,3.0,100.0,5.0,100.0,23.0,88.6,107.0,100.0,80.0,93.1,144.0,93.6,120.0,99.2,,100.0,5.0,78.4,194.0,97.2,QS,,,,,,,,,,,,Ranked
7.0,7.0,ETH Zurich (Swiss Federal Institute of Technology),Switzerland,Europe,L,FO,VH,Public,99.7,18.0,96.3,42.0,71.7,214.0,98.8,40.0,100.0,28.0,99.3,58.0,73.9,241.0,95.8,,95.0,76.0,99.6,2.0,96.7,QS,,,,,,,,,,,,Ranked
8.0,8.0,National University of Singapore (NUS),Singapore,Asia,XL,FC,VH,Public,99.9,14.0,98.2,32.0,71.5,216.0,95.9,64.0,100.0,37.0,96.9,101.0,72.1,253.0,92.4,,100.0,9.0,90.0,,95.9,QS,,,,,,,,,,,,Ranked
9.0,9.0,UCL (University College London),United Kingdom,Europe,XL,FC,VH,Public,99.9,15.0,99.4,18.0,94.8,77.0,80.9,151.0,99.6,108.0,100.0,27.0,100.0,17.0,99.9,,89.3,111.0,98.5,,95.8,QS,,,,,,,,,,,,Ranked
10.0,10.0,California Institute of Technology (Caltech),United States,Americas,S,FO,VH,Private not for Profit,98.3,33.0,99.2,23.0,100.0,5.0,100.0,3.0,100.0,65.0,90.7,161.0,91.4,136.0,61.8,,49.1,352.0,79.2,185.0,94.3,QS,,,,,,,,,,,,Ranked
11.0,17.0,The University of Hong Kong,Hong Kong,Asia,L,FC,VH,Public,99.3,27.0,82.5,97.0,85.3,131.0,96.6,60.0,100.0,31.0,100.0,38.0,100.0,24.0,82.3,,99.8,15.0,84.8,,94.2,QS,,,,,,,,,,,,Ranked
12.0,15.0,"Nanyang Technological University, Singapore (NTU Singapore)",Singapore,Asia,L,FC,VH,Public,97.1,42.0,91.4,67.0,83.9,148.0,94.6,76.0,100.0,43.0,93.1,145.0,93.6,121.0,86.9,,87.7,121.0,87.2,88.0,93.7,QS,,,,,,,,,,,,Ranked
13.0,21.0,University of Chicago,United States,Americas,L,FC,VH,Private not for Profit,99.8,17.0,99.3,21.0,97.3,62.0,78.1,164.0,86.1,254.0,92.8,148.0,69.1,275.0,87.7,,99.8,16.0,73.3,,93.0,QS,,,,,,,,,,,,Ranked
14.0,14.0,Peking University,China,Asia,XL,FC,VH,Public,99.9,12.0,99.6,17.0,96.2,66.0,99.2,35.0,59.9,391.0,37.3,523.0,27.9,640.0,83.2,,97.0,58.0,70.6,,92.6,QS,,,,,,,,,,,,Ranked
15.0,11.0,University of Pennsylvania,United States,Americas,L,FC,VH,Private not for Profit,98.9,30.0,98.7,28.0,99.9,29.0,72.0,199.0,96.9,151.0,76.3,249.0,78.6,221.0,89.4,,100.0,4.0,95.0,24.0,92.5,QS,,,,,,,,,,,,Ranked
16.0,16.0,Cornell University,United States,Americas,L,FC,VH,Private not for Profit,99.5,25.0,98.8,27.0,64.3,276.0,98.0,48.0,57.6,401.0,75.7,251.0,56.4,363.0,93.0,,99.3,24.0,76.8,218.0,91.6,QS,,,,,,,,,,,,Ranked
17.0,20.0,Tsinghua University,China,Asia,XL,FC,VH,Public,99.9,16.0,99.7,15.0,97.1,63.0,99.6,26.0,39.5,502.0,31.9,570.0,23.9,707.0,80.4,,97.0,60.0,68.7,,91.2,QS,,,,,,,,,,,,Ranked
17.0,12.0,"University of California, Berkeley (UCB)",United States,Americas,XL,FC,VH,Public,100.0,6.0,100.0,6.0,29.4,643.0,97.2,53.0,95.6,172.0,70.6,273.0,52.6,392.0,96.7,,99.8,17.0,98.8,,91.2,QS,,,,,,,,,,,,Ranked
19.0,13.0,The University of Melbourne,Australia,Oceania,XL,FC,VH,Public,99.7,21.0,97.4,35.0,20.5,801.0,94.8,72.0,96.7,156.0,100.0,37.0,74.4,239.0,96.9,,98.3,39.0,98.2,,90.8,QS,,,,,,,,,,,,Ranked
20.0,19.0,The University of New South Wales,Australia,Oceania,XL,FC,VH,Public,96.3,43.0,93.5,59.0,29.9,632.0,96.9,58.0,100.0,69.0,99.9,41.0,99.9,30.0,97.6,,98.7,32.0,97.0,,90.7,QS,,,,,,,,,,,,Ranked
21.0,23.0,Yale University,United States,Americas,L,FC,VH,Private not for Profit,100.0,9.0,100.0,7.0,100.0,12.0,64.8,250.0,86.7,247.0,72.7,262.0,75.4,232.0,92.9,,99.8,18.0,82.4,,90.4,QS,,,,,,,,,,,,Ranked
22.0,26.0,École Polytechnique Fédérale de Lausanne,Switzerland,Europe,M,FO,VH,Public,92.7,55.0,88.0,79.0,90.0,103.0,93.1,87.0,100.0,12.0,100.0,17.0,100.0,11.0,83.6,,47.3,371.0,85.3,,90.2,QS,,,,,,,,,,,,Ranked
