Rank,Previous Rank,University,Country,Region,Size,Focus,Research,Status,Academic Reputation SCORE,Academic Reputation  RANK,Employer Reputation SCORE,Employer Reputation RANK,Faculty Student Ratio SCORE,Faculty Student Ratio RANK,Citations per Faculty SCORE,Citations per Faculty RANK,International Faculty  SCORE,International Faculty  RANK,International Student SCORE,International student  RANK,International Students Diversity SCORE,International Students Diversity RANK,International Research Network SCORE,International Research Network RANK,Employment Outcomes SCORE,Employment Outcomes RANK,Sustainability SCORE,Sustainability RANK,Overall SCORE,Ranking_Source,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook,Year
1,1,Massachusetts Institute of Technology (MIT),United States of America,Americas,M,CO,VH,Private not for Profit,100.0,4.0,100.0,2.0,100.0,16.0,100.0,7.0,100.0,63,91.6,153.0,92.3,130.0,94.1,9800%,100.0,7.0,93.8,33,100,QS,,,,,,,,,,,
2,2,Imperial College London,United Kingdom,Europe,L,FO,VH,Public,99.6,22.0,100.0,9.0,99.3,42.0,95.0,69.0,100.0,74,100.0,35.0,100.0,22.0,97.5,2800%,95.9,68.0,98.3,7=,99.4,QS,,,,,,,,,,,
3,6,Stanford University,United States of America,Americas,L,FC,VH,Private not for Profit,100.0,5.0,100.0,3.0,100.0,17.0,99.7,24.0,94.2,188,73.5,261.0,76.1,230.0,96.5,4900%,100.0,2.0,95.4,19=,98.9,QS,,,,,,,,,,,
4,3,University of Oxford,United Kingdom,Europe,L,FC,VH,Public,100.0,2.0,100.0,4.0,100.0,9.0,91.0,98.0,98.8,132,98.6,80.0,98.7,67.0,100.0,100%,100.0,3.0,77.9,198=,97.9,QS,,,,,,,,,,,
5,4,Harvard University,United States of America,Americas,L,FC,VH,Private not for Profit,100.0,1.0,100.0,1.0,98.3,50.0,100.0,1.0,79.1,300,81.4,217.0,60.6,335.0,99.4,800%,100.0,1.0,77.8,201=,97.7,QS,,,,,,,,,,,
6,5,University of Cambridge,United Kingdom,Europe,L,FC,VH,Public,100.0,3.0,100.0,5.0,100.0,23.0,88.6,107.0,100.0,80,93.1,144.0,93.6,120.0,99.2,1200%,100.0,5.0,78.4,194,97.2,QS,,,,,,,,,,,
7,7,ETH Zurich (Swiss Federal Institute of Technology),Switzerland,Europe,L,FO,VH,Public,99.7,18.0,96.3,42.0,71.7,214.0,98.8,40.0,100.0,28,99.3,58.0,73.9,241.0,95.8,6400%,95.0,76.0,99.6,2,96.7,QS,,,,,,,,,,,
8,8,National University of Singapore (NUS),Singapore,Asia,XL,FC,VH,Public,99.9,14.0,98.2,32.0,71.5,216.0,95.9,64.0,100.0,37,96.9,101.0,72.1,253.0,92.4,14000%,100.0,9.0,90.0,63=,95.9,QS,,,,,,,,,,,
9,9,UCL (University College London),United Kingdom,Europe,XL,FC,VH,Public,99.9,15.0,99.4,18.0,94.8,77.0,80.9,151.0,99.6,108,100.0,27.0,100.0,17.0,99.9,200%,89.3,111.0,98.5,5=,95.8,QS,,,,,,,,,,,
10,10,California Institute of Technology (Caltech),United States of America,Americas,S,FO,VH,Private not for Profit,98.3,33.0,99.2,23.0,100.0,5.0,100.0,3.0,100.0,65,90.7,161.0,91.4,136.0,61.8,66500%,49.1,352.0,79.2,185,94.3,QS,,,,,,,,,,,
11,17,The University of Hong Kong,"Hong Kong SAR, China",Asia,L,FC,VH,Public,99.3,27.0,82.5,97.0,85.3,131.0,96.6,60.0,100.0,31,100.0,38.0,100.0,24.0,82.3,30500%,99.8,15.0,84.8,112=,94.2,QS,,,,,,,,,,,
12,15,"Nanyang Technological University, Singapore (NTU Singapore)",Singapore,Asia,L,FC,VH,Public,97.1,42.0,91.4,67.0,83.9,148.0,94.6,76.0,100.0,43,93.1,145.0,93.6,121.0,86.9,21700%,87.7,121.0,87.2,88,93.7,QS,,,,,,,,,,,
13,21,University of Chicago,United States of America,Americas,L,FC,VH,Private not for Profit,99.8,17.0,99.3,21.0,97.3,62.0,78.1,164.0,86.1,254,92.8,148.0,69.1,275.0,87.7,20700%,99.8,16.0,73.3,269=,93,QS,,,,,,,,,,,
