Rank_QS,Previous_Rank,Name,Country/Territory,Region,Size,Focus,Research,Status,Academic_Reputation_Score,Academic Reputation  RANK,Employer_Reputation_Score,Employer_Reputation_Rank,Faculty_Student_Ratio_Score,Faculty_Student_Ratio_Rank,Citations_per_Faculty_Score,Citations_per_Faculty_Rank,International Faculty  SCORE,International Faculty  RANK,International_Student_Score,International student  RANK,International_Students_Diversity_Score,International_Students_Diversity_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,QS_Overall_Score,Rank_THE,Country,Student_Population,Students_to_Staff_Ratio,International_Students,Female_to_Male_Ratio,THE_Overall_Score,Teaching,Research_Environment,Research_Quality,Industry_Impact,International_Outlook,Year,Country,QS_Rank_Normalized,THE_Rank_Normalized
2,2,Imperial College London,United Kingdom,Europe,L,FO,VH,Public,99.6,22,100.0,9,99.3,42,95.0,69,100.0,74,100.0,35.0,100.0,22.0,97.5,28.0,95.9,68,98.3,7=,99.4,8.0,United Kingdom,21340.0,12.1,0.6,"1 day, 19:57:00",94.689,90.6,94.9,98.0,91.9,98.2,2026.0,United Kingdom,2.0,8.0
4,3,University of Oxford,United Kingdom,Europe,L,FC,VH,Public,100.0,2,100.0,4,100.0,9,91.0,98,98.8,132,98.6,80.0,98.7,67.0,100.0,1.0,100.0,3,77.9,198=,97.9,1.0,United Kingdom,22005.0,10.4,0.43,"2 days, 4:48:00",98.21,97.2,100.0,97.7,99.9,96.4,2026.0,United Kingdom,4.0,1.0
6,5,University of Cambridge,United Kingdom,Europe,L,FC,VH,Public,100.0,3,100.0,5,100.0,23,88.6,107,100.0,80,93.1,144.0,93.6,120.0,99.2,12.0,100.0,5,78.4,194,97.2,4.0,United Kingdom,21045.0,11.3,0.38,"2 days, 2:50:00",97.2064999999999,96.2,99.9,97.1,87.6,96.3,2026.0,United Kingdom,6.0,4.0
22,28,Technical University of Munich,Germany,Europe,XL,FO,VH,Public,92.0,60,99.7,16,70.5,223,92.6,90,86.3,252,98.9,72.0,98.9,63.0,95.9,63.0,57.3,293,87.8,83=,90.2,27.0,Germany,35755.0,40.7,0.45,37 : 63,83.4474999999999,71.9,84.8,91.3,100.0,83.4,2026.0,Germany,22.0,27.0
25,18,The University of Sydney,Australia,Oceania,XL,FC,VH,Public,98.9,29,94.2,53,15.7,801,94.3,78,99.9,101,100.0,18.0,100.0,12.0,95.5,71.0,95.8,70,97.6,11,89.4,53.0,Australia,51531.0,22.4,0.53,,75.06,59.2,67.5,91.5,98.9,88.2,2026.0,Australia,25.0,53.0
27,29,McGill University,Canada,Americas,L,FC,VH,Public,98.1,35,93.5,58,67.3,250,72.4,194,88.6,232,93.5,138.0,69.6,272.0,92.9,130.0,98.9,27,96.3,15=,88.9,41.0,Canada,30196.0,11.7,0.29,"2 days, 13:39:00",77.1269999999999,71.0,70.8,86.2,77.5,89.2,2026.0,Canada,27.0,41.0
29,25,University of Toronto,Canada,Americas,XL,FC,VH,Public,100.0,11,99.1,25,45.7,428,68.8,224,97.9,143,97.9,91.0,98.0,78.0,97.0,37.0,99.4,22,100.0,1,88.5,21.0,Canada,80394.0,25.1,0.39,"2 days, 8:44:00",88.4544999999999,78.2,92.9,92.3,95.8,92.3,2026.0,Canada,29.0,21.0
32,30,Australian National University,Australia,Oceania,L,FC,VH,Public,97.9,37,82.6,96,40.9,495,91.7,93,100.0,49,99.0,68.0,99.1,59.0,93.1,123.0,67.1,232,91.8,48,87.4,74.0,Australia,17243.0,13.3,0.51,"2 days, 6:46:00",71.1075,56.7,62.6,85.7,86.3,94.2,2026.0,Australia,32.0,74.0
34,27,University of Edinburgh,United Kingdom,Europe,XL,FC,VH,Public,99.6,24,98.2,33,77.3,179,54.3,338,99.7,105,99.9,42.0,99.9,31.0,99.5,5.0,69.7,213,98.3,7=,87.2,29.0,United Kingdom,35350.0,11.3,0.49,"2 days, 14:38:00",82.4895,75.7,74.7,94.8,71.0,96.2,2026.0,United Kingdom,34.0,29.0
36,37,Monash University,Australia,Oceania,XL,FC,VH,Public,95.7,45,87.5,81,11.3,801,93.0,88,100.0,61,100.0,24.0,100.0,15.0,94.7,87.0,86.7,128,91.7,49=,85.8,60.0,Australia,56287.0,30.6,0.36,"2 days, 6:46:00",74.0899999999999,54.3,65.5,94.0,99.6,91.9,2026.0,Australia,36.0,60.0
36,32,The University of Tokyo,Japan,Asia,L,FC,VH,Public,100.0,7,99.9,10,92.4,94,69.9,217,15.9,777,44.0,457.0,49.2,422.0,88.8,193.0,100.0,10,92.3,44,85.8,26.0,Japan,26298.0,10.2,0.18,,83.5244999999999,94.7,94.2,68.2,100.0,50.8,2026.0,Japan,36.0,26.0
40,38,University of British Columbia,Canada,Americas,XL,FC,VH,Public,99.6,23,96.5,41,34.7,568,70.9,210,98.5,135,79.8,222.0,81.7,191.0,96.6,48.0,84.9,135,98.5,5=,85.5,45.0,Canada,60112.0,18.7,0.34,"2 days, 7:45:00",77.029,64.1,73.9,88.6,77.4,93.5,2026.0,Canada,40.0,45.0
41,46,Institut Polytechnique de Paris,France,Europe,M,CO,VH,Public,58.1,185,99.8,14,94.8,76,97.3,52,99.9,99,99.2,61.0,99.2,50.0,93.0,125.0,99.1,25,77.9,198=,85.4,69.0,France,6217.0,7.6,0.43,1.0118055555555556,71.6434999999999,71.8,62.4,70.9,99.1,95.1,2026.0,France,41.0,69.0
42,40,The University of Queensland,Australia,Oceania,XL,FC,VH,Public,94.3,46,79.5,105,26.5,705,94.2,79,100.0,60,100.0,28.0,100.0,18.0,97.0,36.0,66.6,233,92.5,41,85.1,81.0,Australia,41295.0,23.6,0.43,"2 days, 6:46:00",69.7004999999999,50.9,60.9,87.6,97.6,91.2,2026.0,Australia,42.0,81.0
47,49,Delft University of Technology,Netherlands,Europe,L,CO,VH,Public,86.2,76,90.4,71,49.1,392,84.6,126,100.0,68,94.8,128.0,95.1,109.0,93.8,102.0,66.0,235,96.3,15=,84.3,57.0,Netherlands,21410.0,14.8,0.35,32 : 68,74.246,64.1,75.1,75.5,100.0,92.1,2026.0,Netherlands,47.0,57.0
51,54,University of Bristol,United Kingdom,Europe,XL,FC,VH,Public,87.3,73,89.4,75,36.7,546,83.2,135,90.7,219,95.7,118.0,96.0,100.0,95.3,74.0,63.1,248,97.0,12=,82.5,80.0,United Kingdom,29680.0,14.2,0.35,"2 days, 8:44:00",69.737,51.4,56.5,94.4,74.6,91.8,2026.0,United Kingdom,51.0,80.0
57,50,Kyoto University,Japan,Asia,L,FC,VH,Public,99.7,19,99.3,22,94.3,80,50.9,369,22.9,675,29.2,601.0,35.1,551.0,85.5,247.0,85.9,132,84.0,124=,80.2,61.0,Japan,21617.0,9.0,0.11,25 : 75,73.961,86.4,82.7,56.9,100.0,45.6,2026.0,Japan,57.0,61.0
60,63,KU Leuven,Belgium,Europe,XL,FC,VH,Public,93.0,53,63.5,169,9.6,801,94.7,75,95.8,166,65.1,307.0,48.5,428.0,99.5,4.0,83.5,143,94.7,25,79.7,46.0,Belgium,50336.0,37.1,0.21,"2 days, 4:48:00",76.8154999999999,61.3,73.8,91.3,100.0,79.2,2026.0,Belgium,60.0,46.0
63,68,National Taiwan University (NTU),Taiwan,Asia,L,FC,VH,Public,97.7,38,94.2,54,38.8,522,70.9,209,25.3,647,59.2,346.0,63.1,313.0,67.1,587.0,100.0,11,88.4,74=,78.9,141.0,Taiwan,18743.0,9.7,0.24,"1 day, 20:56:00",62.464,59.4,54.9,68.6,100.0,59.2,2026.0,Taiwan,63.0,141.0
72,75,Lund University,Sweden,Europe,L,FC,VH,Public,80.1,99,64.1,167,68.1,246,56.6,312,98.8,134,82.0,213.0,83.7,181.0,97.1,35.0,96.1,65,98.8,3=,75.7,96.0,Sweden,23748.0,10.2,0.22,"2 days, 8:44:00",66.5655,49.1,56.7,85.7,99.7,79.2,2026.0,Sweden,72.0,96.0
76,80,University of Birmingham,United Kingdom,Europe,XL,FC,VH,Public,81.1,95,75.7,122,49.9,385,56.1,316,96.7,154,93.4,139.0,93.9,115.0,96.3,54.0,54.7,305,92.8,38,73.8,100.0,United Kingdom,34145.0,14.6,0.35,"2 days, 8:44:00",66.258,47.7,48.4,93.7,74.2,94.3,2026.0,United Kingdom,76.0,100.0
77,77,The University of Western Australia,Australia,Oceania,L,FC,VH,Public,69.0,137,56.5,209,15.1,801,99.2,34,100.0,77,100.0,36.0,100.0,23.0,93.2,122.0,82.6,147,83.7,129=,73.7,154.0,Australia,19880.0,23.6,0.3,"2 days, 3:49:00",61.7164999999999,38.7,45.1,87.6,98.4,93.4,2026.0,Australia,77.0,154.0
78,74,KTH Royal Institute of Technology,Sweden,Europe,L,FO,VH,Public,60.2,174,62.1,183,68.3,242,88.2,109,95.6,171,81.8,215.0,60.9,331.0,91.7,147.0,72.7,197,89.8,66,73.6,99.0,Sweden,15263.0,18.2,0.28,31 : 69,66.277,51.1,57.3,79.7,97.2,90.5,2026.0,Sweden,78.0,99.0
79,78,University of Glasgow,United Kingdom,Europe,XL,FC,VH,Public,88.3,72,73.5,132,50.3,377,44.8,416,98.0,140,99.1,67.0,99.1,57.0,97.0,38.0,44.5,395,95.4,19=,73.4,84.0,United Kingdom,34075.0,13.4,0.45,"2 days, 12:40:00",68.9254999999999,50.6,52.2,95.9,73.2,95.5,2026.0,United Kingdom,79.0,84.0
82,,Adelaide University,Australia,Oceania,XL,CO,VH,Public,78.3,102,62.7,176,30.5,621,69.8,218,100.0,90,97.5,96.0,72.5,251.0,96.7,46.0,70.4,207,86.1,98=,72.6,134.0,Australia,43623.0,30.4,0.27,"2 days, 7:45:00",63.0524999999999,38.3,48.9,89.5,99.7,89.8,2026.0,Australia,82.0,134.0
86,82,University of Leeds,United Kingdom,Europe,XL,FC,VH,Public,81.8,90,82.1,98,39.7,512,48.8,380,89.7,224,96.3,108.0,96.5,93.0,99.2,13.0,62.9,250,76.4,219=,72,118.0,United Kingdom,35600.0,14.4,0.39,"2 days, 12:40:00",64.8795,48.3,50.3,87.2,71.6,93.6,2026.0,United Kingdom,86.0,118.0
87,80,University of Southampton,United Kingdom,Europe,L,FC,VH,Public,62.6,163,55.9,214,40.1,504,87.8,111,96.8,153,98.6,82.0,98.6,69.0,97.4,32.0,58.6,279,95.1,23,71.2,129.0,United Kingdom,24355.0,14.3,0.46,"2 days, 6:46:00",63.3345,44.6,45.4,89.6,73.1,96.1,2026.0,United Kingdom,87.0,129.0
91,86,The University of Osaka,Japan,Asia,L,FC,VH,Public,90.5,67,90.0,73,45.6,430,65.8,242,25.2,649,21.1,709.0,27.2,651.0,72.0,500.0,51.4,330,79.5,180=,71,152.0,Japan,22367.0,10.4,0.12,33 : 67,61.8439999999999,65.9,64.9,53.3,100.0,47.9,2026.0,Japan,91.0,152.0
93,103,Uppsala University,Sweden,Europe,L,FC,VH,Public,74.7,113,48.1,268,66.3,260,55.9,318,99.7,106,82.9,207.0,84.5,174.0,95.9,60.0,82.9,145,94.4,26,70.3,128.0,Sweden,20953.0,10.9,0.18,"2 days, 11:41:00",63.4564999999999,47.4,54.9,81.3,95.0,71.5,2026.0,Sweden,93.0,128.0
94,89,Durham University,United Kingdom,Europe,L,FC,VH,Public,74.1,117,91.9,64,37.3,539,42.9,441,99.2,123,94.5,134.0,94.9,111.0,90.9,161.0,53.6,316,95.2,22,70.1,177.0,United Kingdom,21470.0,13.2,0.34,"2 days, 6:46:00",60.262,45.2,44.9,81.0,62.8,94.6,2026.0,United Kingdom,94.0,177.0
94,96,University of Alberta,Canada,Americas,XL,FC,VH,Public,70.9,133,53.0,230,44.6,443,71.5,204,99.4,119,78.6,229.0,80.6,199.0,94.5,90.0,77.1,169,90.7,58,70.1,119.0,Canada,33938.0,21.6,0.28,,64.6105,49.1,55.4,78.1,100.0,88.4,2026.0,Canada,94.0,119.0
96,88,University of Technology Sydney,Australia,Oceania,L,CO,VH,Public,58.7,180,66.7,159,11.8,801,99.3,33,97.6,146,91.7,151.0,92.3,128.0,89.7,177.0,52.3,323,92.0,47,69.9,149.0,Australia,29729.0,37.7,0.26,"2 days, 3:49:00",61.9555,36.8,42.6,94.1,88.7,92.9,2026.0,Australia,96.0,149.0
98,111,Politecnico di Milano,Italy,Europe,XL,CO,VH,Public,83.4,84,90.1,72,9.3,801,53.9,343,74.4,317,69.3,281.0,72.3,252.0,87.0,215.0,72.0,199,72.9,275=,69.1,216.0,Italy,39793.0,21.8,0.23,36 : 64,57.8525,46.2,51.9,67.8,98.0,65.5,2026.0,Italy,98.0,216.0
101,100,University of Copenhagen,Denmark,Europe,XL,FC,VH,Public,85.5,79,41.7,324,99.6,34,36.6,512,87.3,241,26.5,640.0,19.9,765.0,98.0,22.0,94.4,77,76.3,221,68.4,90.0,Denmark,31425.0,4.2,0.14,"2 days, 15:37:00",67.1184999999999,51.3,52.2,91.3,92.8,76.6,2026.0,Denmark,101.0,90.0
105,94,Lomonosov Moscow State University,Russian Federation,Europe,L,FC,VH,Public,83.7,83,87.9,80,99.9,26,7.3,801,25.5,641,96.0,112.0,96.1,97.0,87.0,214.0,98.3,37,48.8,734=,67.6,133.0,Russian Federation,31603.0,9.7,0.38,"2 days, 3:49:00",63.0545,80.9,69.7,32.9,93.4,71.6,2026.0,Russian Federation,105.0,133.0
107,109,Technical University of Denmark,Denmark,Europe,M,FO,VH,Public,44.8,264,36.2,396,98.4,49,90.9,99,100.0,52,95.9,113.0,96.1,96.0,87.1,213.0,60.5,269,68.0,351=,67.5,121.0,Denmark,11254.0,8.8,0.37,34 : 66,64.34,51.2,46.5,82.6,99.9,93.0,2026.0,Denmark,107.0,121.0
109,107,Tohoku University,Japan,Asia,L,FC,VH,Public,84.5,82,86.5,84,98.2,52,35.5,519,20.5,705,19.4,739.0,25.5,678.0,70.1,529.0,36.5,474,82.0,149=,66.7,105.0,Japan,17349.0,12.6,0.13,28 : 72,65.7274999999999,70.9,70.8,52.8,100.0,59.2,2026.0,Japan,109.0,105.0
112,122,Qatar University,Qatar,Asia,M,FC,VH,Public,43.3,273,56.5,208,73.8,206,73.3,188,100.0,26,98.6,83.0,98.6,70.0,89.6,179.0,98.9,29,72.2,289=,66.5,221.0,Qatar,9539.0,8.2,0.38,,57.5884999999999,32.4,38.1,89.1,79.1,94.5,2026.0,Qatar,112.0,221.0
113,104,University of St Andrews,United Kingdom,Europe,M,FO,VH,Public,61.5,165,74.9,127,63.8,278,51.3,368,98.8,131,99.7,47.0,99.7,36.0,87.7,208.0,28.9,575,86.2,97,66.4,164.0,United Kingdom,11265.0,12.9,0.49,"2 days, 11:41:00",60.9,50.6,43.3,78.2,71.9,94.4,2026.0,United Kingdom,113.0,164.0
114,113,Aalto University,Finland,Europe,L,FO,VH,Public,57.5,189,56.1,212,35.1,564,79.6,160,97.2,147,60.0,343.0,63.9,312.0,80.9,332.0,97.1,55,88.3,77,66.3,196.0,Finland,15131.0,21.3,0.26,39 : 61,59.017,44.3,43.4,78.9,91.0,80.7,2026.0,Finland,114.0,196.0
116,117,University of Helsinki,Finland,Europe,L,CO,VH,Public,74.5,114,37.7,370,66.9,256,62.7,262,78.5,305,13.1,801.0,19.1,779.0,96.1,57.0,94.2,80,95.6,18,66.1,104.0,Finland,22974.0,15.8,0.07,"2 days, 20:32:00",65.738,50.4,57.3,90.1,70.7,58.6,2026.0,Finland,116.0,104.0
118,126,University College Dublin,Ireland,Europe,L,FC,VH,Public,66.5,149,57.6,204,19.7,801,62.0,272,99.5,112,89.6,170.0,90.5,144.0,89.0,188.0,92.2,88,91.7,49=,66,223.0,Ireland,25252.0,19.1,0.35,,57.4665,35.5,41.7,84.0,74.9,89.4,2026.0,Ireland,118.0,223.0
119,141,Leiden University,Netherlands,Europe,XL,FC,VH,Public,80.4,97,46.3,288,30.3,629,64.9,249,89.7,225,68.4,288.0,50.9,408.0,94.3,93.0,61.2,263,58.6,530=,65.7,70.0,Netherlands,34441.0,17.6,0.22,"2 days, 10:42:00",71.3344999999999,49.3,63.3,93.6,99.1,85.2,2026.0,Netherlands,119.0,70.0
