Rank_QS,Previous Rank,Name_QS,Country/Territory,Region,Size,Focus,Research,Status,Academic Reputation SCORE,Academic Reputation  RANK,Employer Reputation SCORE,Employer Reputation RANK,Faculty Student Ratio SCORE,Faculty Student Ratio RANK,Citations per Faculty SCORE,Citations per Faculty RANK,International Faculty  SCORE,International Faculty  RANK,International Student SCORE,International student  RANK,International Students Diversity SCORE,International Students Diversity RANK,International Research Network SCORE,International Research Network RANK,Employment Outcomes SCORE,Employment Outcomes RANK,Sustainability SCORE,Sustainability RANK,Overall SCORE,Rank_THE,Name_THE,Country,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook,Year
2,2,Imperial College London,United Kingdom,Europe,L,FO,VH,Public,99.6,22,100.0,9,99.3,42,95.0,69,100.0,74,100.0,35.0,100.0,22.0,97.5,28.0,95.9,68,98.3,7=,99.4,8,Imperial College London,United Kingdom,21340,12.1,0.6,"1 day, 19:57:00",94.689,90.6,94.9,98.0,91.9,98.2,2026
3,6,Stanford University,United States of America,Americas,L,FC,VH,Private not for Profit,100.0,5,100.0,3,100.0,17,99.7,24,94.2,188,73.5,261.0,76.1,230.0,96.5,49.0,100.0,2,95.4,19=,98.9,5,Stanford University,United States,17422,5.9,0.25,"2 days, 0:52:00",97.151,97.5,97.4,99.5,100.0,83.9,2026
4,3,University of Oxford,United Kingdom,Europe,L,FC,VH,Public,100.0,2,100.0,4,100.0,9,91.0,98,98.8,132,98.6,80.0,98.7,67.0,100.0,1.0,100.0,3,77.9,198=,97.9,1,University of Oxford,United Kingdom,22005,10.4,0.43,"2 days, 4:48:00",98.21,97.2,100.0,97.7,99.9,96.4,2026
5,4,Harvard University,United States of America,Americas,L,FC,VH,Private not for Profit,100.0,1,100.0,1,98.3,50,100.0,1,79.1,300,81.4,217.0,60.6,335.0,99.4,8.0,100.0,1,77.8,201=,97.7,6,Harvard University,United States,22680,10.1,0.27,"2 days, 5:47:00",97.051,95.9,100.0,98.9,86.7,88.3,2026
6,5,University of Cambridge,United Kingdom,Europe,L,FC,VH,Public,100.0,3,100.0,5,100.0,23,88.6,107,100.0,80,93.1,144.0,93.6,120.0,99.2,12.0,100.0,5,78.4,194,97.2,4,University of Cambridge,United Kingdom,21045,11.3,0.38,"2 days, 2:50:00",97.2064999999999,96.2,99.9,97.1,87.6,96.3,2026
14,14,Peking University,China (Mainland),Asia,XL,FC,VH,Public,99.9,12,99.6,17,96.2,66,99.2,35,59.9,391,37.3,523.0,27.9,640.0,83.2,290.0,97.0,58,70.6,308=,92.6,13,Peking University,China,35659,11.3,0.15,,92.2815,95.4,97.9,89.0,100.0,67.3,2026
15,11,University of Pennsylvania,United States of America,Americas,L,FC,VH,Private not for Profit,98.9,30,98.7,28,99.9,29,72.0,199,96.9,151,76.3,249.0,78.6,221.0,89.4,182.0,100.0,4,95.0,24,92.5,14,University of Pennsylvania,United States,22422,6.6,0.26,"2 days, 7:45:00",90.8024999999999,88.1,90.3,96.1,97.9,78.4,2026
16,16,Cornell University,United States of America,Americas,L,FC,VH,Private not for Profit,99.5,25,98.8,27,64.3,276,98.0,48,57.6,401,75.7,251.0,56.4,363.0,93.0,126.0,99.3,24,76.8,218,91.6,19,Cornell University,United States,25673,10.6,0.26,"2 days, 5:47:00",89.4589999999999,85.9,90.6,95.9,70.3,83.5,2026
17,20,Tsinghua University,China (Mainland),Asia,XL,FC,VH,Public,99.9,16,99.7,15,97.1,63,99.6,26,39.5,502,31.9,570.0,23.9,707.0,80.4,347.0,97.0,60,68.7,339=,91.2,12,Tsinghua University,China,38569,10.8,0.11,,93.0304999999999,95.9,98.5,93.9,100.0,53.4,2026
21,23,Yale University,United States of America,Americas,L,FC,VH,Private not for Profit,100.0,9,100.0,7,100.0,12,64.8,250,86.7,247,72.7,262.0,75.4,232.0,92.9,131.0,99.8,18,82.4,144=,90.4,10,Yale University,United States,14884,6.2,0.24,"2 days, 5:47:00",94.081,94.6,94.5,97.2,87.6,81.4,2026
22,28,Technical University of Munich,Germany,Europe,XL,FO,VH,Public,92.0,60,99.7,16,70.5,223,92.6,90,86.3,252,98.9,72.0,98.9,63.0,95.9,63.0,57.3,293,87.8,83=,90.2,27,Technical University of Munich,Germany,35755,40.7,0.45,37 : 63,83.4474999999999,71.9,84.8,91.3,100.0,83.4,2026
24,32,Johns Hopkins University,United States of America,Americas,L,FC,VH,Private not for Profit,93.2,51,79.2,108,100.0,14,85.8,118,70.8,333,94.2,137.0,94.6,113.0,97.4,29.0,84.1,141,93.0,35,89.7,16,Johns Hopkins University,United States,21275,5.6,0.34,"2 days, 6:46:00",90.0604999999999,84.6,89.9,96.3,100.0,81.9,2026
25,22,Princeton University,United States of America,Americas,M,CO,VH,Private not for Profit,100.0,10,99.8,13,67.3,253,100.0,5,12.7,801,70.0,280.0,52.2,397.0,82.6,300.0,98.9,28,76.0,222,89.4,3,Princeton University,United States,8739,8.2,0.23,"1 day, 23:53:00",97.211,98.2,97.3,99.0,98.0,85.4,2026
25,18,The University of Sydney,Australia,Oceania,XL,FC,VH,Public,98.9,29,94.2,53,15.7,801,94.3,78,99.9,101,100.0,18.0,100.0,12.0,95.5,71.0,95.8,70,97.6,11,89.4,53,The University of Sydney,Australia,51531,22.4,0.53,,75.06,59.2,67.5,91.5,98.9,88.2,2026
27,29,McGill University,Canada,Americas,L,FC,VH,Public,98.1,35,93.5,58,67.3,250,72.4,194,88.6,232,93.5,138.0,69.6,272.0,92.9,130.0,98.9,27,96.3,15=,88.9,41,McGill University,Canada,30196,11.7,0.29,"2 days, 13:39:00",77.1269999999999,71.0,70.8,86.2,77.5,89.2,2026
29,25,University of Toronto,Canada,Americas,XL,FC,VH,Public,100.0,11,99.1,25,45.7,428,68.8,224,97.9,143,97.9,91.0,98.0,78.0,97.0,37.0,99.4,22,100.0,1,88.5,21,University of Toronto,Canada,80394,25.1,0.39,"2 days, 8:44:00",88.4544999999999,78.2,92.9,92.3,95.8,92.3,2026
30,39,Fudan University,China (Mainland),Asia,XL,FC,VH,Public,93.7,50,95.1,49,84.8,137,92.8,89,88.5,234,46.4,433.0,51.4,402.0,75.5,431.0,73.3,193,83.1,134,88.4,36,Fudan University,China,38601,12.4,0.1,"2 days, 4:48:00",79.2785,79.5,77.1,84.8,99.8,53.8,2026
32,30,Australian National University,Australia,Oceania,L,FC,VH,Public,97.9,37,82.6,96,40.9,495,91.7,93,100.0,49,99.0,68.0,99.1,59.0,93.1,123.0,67.1,232,91.8,48,87.4,74,Australian National University,Australia,17243,13.3,0.51,"2 days, 6:46:00",71.1075,56.7,62.6,85.7,86.3,94.2,2026
32,36,The Chinese University of Hong Kong,"Hong Kong SAR, China",Asia,L,FC,VH,Public,94.2,48,67.3,157,75.9,191,95.0,71,100.0,50,93.3,143.0,90.3,147.0,68.2,563.0,91.2,94,84.1,123,87.4,44,The Chinese University of Hong Kong,Hong Kong,18461,18.2,0.25,,77.0595,63.2,63.8,97.9,90.9,92.1,2026
34,27,University of Edinburgh,United Kingdom,Europe,XL,FC,VH,Public,99.6,24,98.2,33,77.3,179,54.3,338,99.7,105,99.9,42.0,99.9,31.0,99.5,5.0,69.7,213,98.3,7=,87.2,29,University of Edinburgh,United Kingdom,35350,11.3,0.49,"2 days, 14:38:00",82.4895,75.7,74.7,94.8,71.0,96.2,2026
36,37,Monash University,Australia,Oceania,XL,FC,VH,Public,95.7,45,87.5,81,11.3,801,93.0,88,100.0,61,100.0,24.0,100.0,15.0,94.7,87.0,86.7,128,91.7,49=,85.8,60,Monash University,Australia,56287,30.6,0.36,"2 days, 6:46:00",74.0899999999999,54.3,65.5,94.0,99.6,91.9,2026
36,32,The University of Tokyo,Japan,Asia,L,FC,VH,Public,100.0,7,99.9,10,92.4,94,69.9,217,15.9,777,44.0,457.0,49.2,422.0,88.8,193.0,100.0,10,92.3,44,85.8,26,The University of Tokyo,Japan,26298,10.2,0.18,,83.5244999999999,94.7,94.2,68.2,100.0,50.8,2026
38,34,Columbia University,United States of America,Americas,XL,FC,VH,Private not for Profit,99.9,13,99.9,11,100.0,19,44.5,418,48.5,445,98.1,88.0,72.9,250.0,98.4,18.0,100.0,8,77.9,198=,85.6,20,Columbia University,United States,30580,5.6,0.42,,89.4025,87.8,87.8,95.9,74.8,83.7,2026
38,31,Seoul National University,Republic of Korea,Asia,L,FC,VH,Public,99.7,20,99.1,24,85.6,130,81.2,150,13.2,801,27.5,622.0,33.5,571.0,77.6,391.0,100.0,6,90.8,57,85.6,59,Seoul National University,South Korea,26783,15.3,0.16,,74.094,74.1,74.8,77.6,100.0,43.5,2026
40,38,University of British Columbia,Canada,Americas,XL,FC,VH,Public,99.6,23,96.5,41,34.7,568,70.9,210,98.5,135,79.8,222.0,81.7,191.0,96.6,48.0,84.9,135,98.5,5=,85.5,45,University of British Columbia,Canada,60112,18.7,0.34,"2 days, 7:45:00",77.029,64.1,73.9,88.6,77.4,93.5,2026
41,46,Institut Polytechnique de Paris,France,Europe,M,CO,VH,Public,58.1,185,99.8,14,94.8,76,97.3,52,99.9,99,99.2,61.0,99.2,50.0,93.0,125.0,99.1,25,77.9,198=,85.4,69,Institut Polytechnique de Paris,France,6217,7.6,0.43,1.0118055555555556,71.6434999999999,71.8,62.4,70.9,99.1,95.1,2026
42,50,Northwestern University,United States of America,Americas,L,FC,VH,Private not for Profit,92.2,59,89.4,74,99.1,44,71.2,205,57.7,399,67.2,295.0,50.0,414.0,86.5,229.0,99.5,20,74.4,250=,85.1,30,Northwestern University,United States,20611,8.2,0.24,"2 days, 6:46:00",81.869,73.2,76.0,96.9,96.0,71.0,2026
42,40,The University of Queensland,Australia,Oceania,XL,FC,VH,Public,94.3,46,79.5,105,26.5,705,94.2,79,100.0,60,100.0,28.0,100.0,18.0,97.0,36.0,66.6,233,92.5,41,85.1,81,The University of Queensland,Australia,41295,23.6,0.43,"2 days, 6:46:00",69.7004999999999,50.9,60.9,87.6,97.6,91.2,2026
44,47,The Hong Kong University of Science and Technology,"Hong Kong SAR, China",Asia,M,FO,VH,Public,89.4,69,69.7,149,67.5,247,100.0,12,100.0,23,99.3,59.0,99.0,60.0,49.5,801.0,76.6,173,79.7,175=,84.8,58,The Hong Kong University of Science and Technology,Hong Kong,8912,14.3,0.48,,74.123,56.2,60.6,95.6,100.0,97.2,2026
45,44,University of Michigan-Ann Arbor,United States of America,Americas,XL,FC,VH,Public,99.3,26,98.5,30,85.7,127,54.5,334,73.9,320,56.1,372.0,60.3,339.0,96.0,59.0,99.1,26,77.2,210=,84.7,23,University of Michigan-Ann Arbor,United States,48449,8.4,0.19,"2 days, 4:48:00",86.9295,85.7,87.3,93.8,81.4,65.8,2026
