Rank_QS,Previous_Rank,Name,Region,Size,Focus,Research,Status,Academic Reputation  RANK,Employer_Reputation_Score,Employer_Reputation_Rank,Faculty_Student_Ratio_Rank,Citations_per_Faculty_Score,Citations_per_Faculty_Rank,International Faculty  SCORE,International Faculty  RANK,International_Student_Score,International student  RANK,International_Students_Diversity_Score,International_Students_Diversity_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,QS_Overall_Score,Rank_THE,Student_Population,Students_to_Staff_Ratio,International_Students,Female_to_Male_Ratio,THE_Overall_Score,Teaching,Research_Environment,Research_Quality,Industry_Impact,International_Outlook,Year,Country,QS_Rank_Normalized,THE_Rank_Normalized,Global_Ranking_Score,Research_Impact_Score,Faculty_to_Student_Ratio,International_Student_Percentage,Academic_Reputation_Score,Research_Productivity_Index
2,2,Imperial College London,Europe,L,FO,VH,Public,22,100.0,9,42,95.0,69,100.0,74,100.0,35.0,100.0,22.0,97.5,28.0,95.9,68,98.3,7.0,99.4,8.0,21340.0,12.1,0.6,1.83,94.69,90.6,94.9,98.0,91.9,98.2,2026.0,United Kingdom,2.0,8.0,97.04,96.35,99.3,60.0,99.6,96.45
4,3,University of Oxford,Europe,L,FC,VH,Public,2,100.0,4,9,91.0,98,98.8,132,98.6,80.0,98.7,67.0,100.0,1.0,100.0,3,77.9,198.0,97.9,1.0,22005.0,10.4,0.43,2.2,98.21,97.2,100.0,97.7,99.9,96.4,2026.0,United Kingdom,4.0,1.0,98.06,97.18,100.0,43.0,100.0,98.85
6,5,University of Cambridge,Europe,L,FC,VH,Public,3,100.0,5,23,88.6,107,100.0,80,93.1,144.0,93.6,120.0,99.2,12.0,100.0,5,78.4,194.0,97.2,4.0,21045.0,11.3,0.38,2.12,97.21,96.2,99.9,97.1,87.6,96.3,2026.0,United Kingdom,6.0,4.0,97.2,96.2,100.0,38.0,100.0,98.5
22,28,Technical University of Munich,Europe,XL,FO,VH,Public,60,99.7,16,223,92.6,90,86.3,252,98.9,72.0,98.9,63.0,95.9,63.0,57.3,293,87.8,83.0,90.2,27.0,35755.0,40.7,0.45,0.59,83.45,71.9,84.8,91.3,100.0,83.4,2026.0,Germany,22.0,27.0,86.82,91.15,70.5,45.0,92.0,88.05
25,18,The University of Sydney,Oceania,XL,FC,VH,Public,29,94.2,53,801,94.3,78,99.9,101,100.0,18.0,100.0,12.0,95.5,71.0,95.8,70,97.6,11.0,89.4,53.0,51531.0,22.4,0.53,,75.06,59.2,67.5,91.5,98.9,88.2,2026.0,Australia,25.0,53.0,82.23,87.2,15.7,53.0,98.9,79.5
27,29,McGill University,Americas,L,FC,VH,Public,35,93.5,58,250,72.4,194,88.6,232,93.5,138.0,69.6,272.0,92.9,130.0,98.9,27,96.3,15.0,88.9,41.0,30196.0,11.7,0.29,2.57,77.13,71.0,70.8,86.2,77.5,89.2,2026.0,Canada,27.0,41.0,83.02,80.57,67.3,29.0,98.1,78.5
29,25,University of Toronto,Americas,XL,FC,VH,Public,11,99.1,25,428,68.8,224,97.9,143,97.9,91.0,98.0,78.0,97.0,37.0,99.4,22,100.0,1.0,88.5,21.0,80394.0,25.1,0.39,2.36,88.45,78.2,92.9,92.3,95.8,92.3,2026.0,Canada,29.0,21.0,88.48,87.75,45.7,39.0,100.0,92.6
32,30,Australian National University,Oceania,L,FC,VH,Public,37,82.6,96,495,91.7,93,100.0,49,99.0,68.0,99.1,59.0,93.1,123.0,67.1,232,91.8,48.0,87.4,74.0,17243.0,13.3,0.51,2.28,71.11,56.7,62.6,85.7,86.3,94.2,2026.0,Australia,32.0,74.0,79.26,83.28,40.9,51.0,97.9,74.15
34,27,University of Edinburgh,Europe,XL,FC,VH,Public,24,98.2,33,179,54.3,338,99.7,105,99.9,42.0,99.9,31.0,99.5,5.0,69.7,213,98.3,7.0,87.2,29.0,35350.0,11.3,0.49,2.61,82.49,75.7,74.7,94.8,71.0,96.2,2026.0,United Kingdom,34.0,29.0,84.84,80.82,77.3,49.0,99.6,84.75
36,37,Monash University,Oceania,XL,FC,VH,Public,45,87.5,81,801,93.0,88,100.0,61,100.0,24.0,100.0,15.0,94.7,87.0,86.7,128,91.7,49.0,85.8,60.0,56287.0,30.6,0.36,2.28,74.09,54.3,65.5,94.0,99.6,91.9,2026.0,Australia,36.0,60.0,79.94,86.8,11.3,36.0,95.7,79.75
36,32,The University of Tokyo,Asia,L,FC,VH,Public,7,99.9,10,94,69.9,217,15.9,777,44.0,457.0,49.2,422.0,88.8,193.0,100.0,10,92.3,44.0,85.8,26.0,26298.0,10.2,0.18,,83.52,94.7,94.2,68.2,100.0,50.8,2026.0,Japan,36.0,26.0,84.66,80.28,92.4,18.0,100.0,81.2
40,38,University of British Columbia,Americas,XL,FC,VH,Public,23,96.5,41,568,70.9,210,98.5,135,79.8,222.0,81.7,191.0,96.6,48.0,84.9,135,98.5,5.0,85.5,45.0,60112.0,18.7,0.34,2.32,77.03,64.1,73.9,88.6,77.4,93.5,2026.0,Canada,40.0,45.0,81.26,82.5,34.7,34.0,99.6,81.25
41,46,Institut Polytechnique de Paris,Europe,M,CO,VH,Public,185,99.8,14,76,97.3,52,99.9,99,99.2,61.0,99.2,50.0,93.0,125.0,99.1,25,77.9,198.0,85.4,69.0,6217.0,7.6,0.43,1.01,71.64,71.8,62.4,70.9,99.1,95.1,2026.0,France,41.0,69.0,78.52,80.9,94.8,43.0,58.1,66.65
42,40,The University of Queensland,Oceania,XL,FC,VH,Public,46,79.5,105,705,94.2,79,100.0,60,100.0,28.0,100.0,18.0,97.0,36.0,66.6,233,92.5,41.0,85.1,81.0,41295.0,23.6,0.43,2.28,69.7,50.9,60.9,87.6,97.6,91.2,2026.0,Australia,42.0,81.0,77.4,84.92,26.5,43.0,94.3,74.25
47,49,Delft University of Technology,Europe,L,CO,VH,Public,76,90.4,71,392,84.6,126,100.0,68,94.8,128.0,95.1,109.0,93.8,102.0,66.0,235,96.3,15.0,84.3,57.0,21410.0,14.8,0.35,0.47,74.25,64.1,75.1,75.5,100.0,92.1,2026.0,Netherlands,47.0,57.0,79.28,82.25,49.1,35.0,86.2,75.3
51,54,University of Bristol,Europe,XL,FC,VH,Public,73,89.4,75,546,83.2,135,90.7,219,95.7,118.0,96.0,100.0,95.3,74.0,63.1,248,97.0,12.0,82.5,80.0,29680.0,14.2,0.35,2.36,69.74,51.4,56.5,94.4,74.6,91.8,2026.0,United Kingdom,51.0,80.0,76.12,82.35,36.7,35.0,87.3,75.45
57,50,Kyoto University,Asia,L,FC,VH,Public,19,99.3,22,80,50.9,369,22.9,675,29.2,601.0,35.1,551.0,85.5,247.0,85.9,132,84.0,124.0,80.2,61.0,21617.0,9.0,0.11,0.33,73.96,86.4,82.7,56.9,100.0,45.6,2026.0,Japan,57.0,61.0,77.08,69.0,94.3,11.0,99.7,69.8
60,63,KU Leuven,Europe,XL,FC,VH,Public,53,63.5,169,801,94.7,75,95.8,166,65.1,307.0,48.5,428.0,99.5,4.0,83.5,143,94.7,25.0,79.7,46.0,50336.0,37.1,0.21,2.2,76.82,61.3,73.8,91.3,100.0,79.2,2026.0,Belgium,60.0,46.0,78.26,89.82,9.6,21.0,93.0,82.55
63,68,National Taiwan University (NTU),Asia,L,FC,VH,Public,38,94.2,54,522,70.9,209,25.3,647,59.2,346.0,63.1,313.0,67.1,587.0,100.0,11,88.4,74.0,78.9,141.0,18743.0,9.7,0.24,1.87,62.46,59.4,54.9,68.6,100.0,59.2,2026.0,Taiwan,63.0,141.0,70.68,65.38,38.8,24.0,97.7,61.75
72,75,Lund University,Europe,L,FC,VH,Public,99,64.1,167,246,56.6,312,98.8,134,82.0,213.0,83.7,181.0,97.1,35.0,96.1,65,98.8,3.0,75.7,96.0,23748.0,10.2,0.22,2.36,66.57,49.1,56.7,85.7,99.7,79.2,2026.0,Sweden,72.0,96.0,71.13,74.03,68.1,22.0,80.1,71.2
76,80,University of Birmingham,Europe,XL,FC,VH,Public,95,75.7,122,385,56.1,316,96.7,154,93.4,139.0,93.9,115.0,96.3,54.0,54.7,305,92.8,38.0,73.8,100.0,34145.0,14.6,0.35,2.36,66.26,47.7,48.4,93.7,74.2,94.3,2026.0,United Kingdom,76.0,100.0,70.03,73.62,49.9,35.0,81.1,71.05
77,77,The University of Western Australia,Oceania,L,FC,VH,Public,137,56.5,209,801,99.2,34,100.0,77,100.0,36.0,100.0,23.0,93.2,122.0,82.6,147,83.7,129.0,73.7,154.0,19880.0,23.6,0.3,2.16,61.72,38.7,45.1,87.6,98.4,93.4,2026.0,Australia,77.0,154.0,67.71,81.28,15.1,30.0,69.0,66.35
78,74,KTH Royal Institute of Technology,Europe,L,FO,VH,Public,174,62.1,183,242,88.2,109,95.6,171,81.8,215.0,60.9,331.0,91.7,147.0,72.7,197,89.8,66.0,73.6,99.0,15263.0,18.2,0.28,0.45,66.28,51.1,57.3,79.7,97.2,90.5,2026.0,Sweden,78.0,99.0,69.94,79.22,68.3,28.0,60.2,68.5
79,78,University of Glasgow,Europe,XL,FC,VH,Public,72,73.5,132,377,44.8,416,98.0,140,99.1,67.0,99.1,57.0,97.0,38.0,44.5,395,95.4,19.0,73.4,84.0,34075.0,13.4,0.45,2.53,68.93,50.6,52.2,95.9,73.2,95.5,2026.0,United Kingdom,79.0,84.0,71.17,72.47,50.3,45.0,88.3,74.05
82,,Adelaide University,Oceania,XL,CO,VH,Public,102,62.7,176,621,69.8,218,100.0,90,97.5,96.0,72.5,251.0,96.7,46.0,70.4,207,86.1,98.0,72.6,134.0,43623.0,30.4,0.27,2.32,63.05,38.3,48.9,89.5,99.7,89.8,2026.0,Australia,82.0,134.0,67.82,76.22,30.5,27.0,78.3,69.2
86,82,University of Leeds,Europe,XL,FC,VH,Public,90,82.1,98,512,48.8,380,89.7,224,96.3,108.0,96.5,93.0,99.2,13.0,62.9,250,76.4,219.0,72.0,118.0,35600.0,14.4,0.39,2.53,64.88,48.3,50.3,87.2,71.6,93.6,2026.0,United Kingdom,86.0,118.0,68.44,71.38,39.7,39.0,81.8,68.75
