Rank,Previous_Rank,Name,Country_Territory,Region,Size,Focus,Research,Status,Academic_Reputation_SCORE,Data_Source,Academic_Reputation_RANK,Employer_Reputation_SCORE,Employer_Reputation_RANK,Faculty_Student_Ratio_SCORE,Faculty_Student_Ratio_RANK,Citations_per_Faculty_SCORE,Citations_per_Faculty_RANK,International_Faculty_SCORE,International_Faculty_RANK,International_Student_SCORE,International_student_RANK,International_Students_Diversity_SCORE,International_Students_Diversity_RANK,International_Research_Network_SCORE,International_Research_Network_RANK,Employment_Outcomes_SCORE,Employment_Outcomes_RANK,Sustainability_SCORE,Sustainability_RANK,Overall_SCORE
1,1,Massachusetts Institute of Technology (MIT),United States of America,Americas,M,CO,VH,Private not for Profit,100.0,QS,,,,,,,,,,,,,,,,,,,,
2,2,Imperial College London,United Kingdom,Europe,L,FO,VH,Public,99.6,QS,,,,,,,,,,,,,,,,,,,,
3,6,Stanford University,United States of America,Americas,L,FC,VH,Private not for Profit,100.0,QS,,,,,,,,,,,,,,,,,,,,
4,3,University of Oxford,United Kingdom,Europe,L,FC,VH,Public,100.0,QS,,,,,,,,,,,,,,,,,,,,
5,4,Harvard University,United States of America,Americas,L,FC,VH,Private not for Profit,100.0,QS,,,,,,,,,,,,,,,,,,,,
6,5,University of Cambridge,United Kingdom,Europe,L,FC,VH,Public,100.0,QS,,,,,,,,,,,,,,,,,,,,
7,7,ETH Zurich (Swiss Federal Institute of Technology),Switzerland,Europe,L,FO,VH,Public,99.7,QS,,,,,,,,,,,,,,,,,,,,
8,8,National University of Singapore (NUS),Singapore,Asia,XL,FC,VH,Public,99.9,QS,,,,,,,,,,,,,,,,,,,,
9,9,UCL (University College London),United Kingdom,Europe,XL,FC,VH,Public,99.9,QS,,,,,,,,,,,,,,,,,,,,
10,10,California Institute of Technology (Caltech),United States of America,Americas,S,FO,VH,Private not for Profit,98.3,QS,,,,,,,,,,,,,,,,,,,,
11,17,The University of Hong Kong,"Hong Kong SAR, China",Asia,L,FC,VH,Public,99.3,QS,,,,,,,,,,,,,,,,,,,,
12,15,"Nanyang Technological University, Singapore (NTU Singapore)",Singapore,Asia,L,FC,VH,Public,97.1,QS,,,,,,,,,,,,,,,,,,,,
13,21,University of Chicago,United States of America,Americas,L,FC,VH,Private not for Profit,99.8,QS,,,,,,,,,,,,,,,,,,,,
14,14,Peking University,China (Mainland),Asia,XL,FC,VH,Public,99.9,QS,,,,,,,,,,,,,,,,,,,,
15,11,University of Pennsylvania,United States of America,Americas,L,FC,VH,Private not for Profit,98.9,QS,,,,,,,,,,,,,,,,,,,,
16,16,Cornell University,United States of America,Americas,L,FC,VH,Private not for Profit,99.5,QS,,,,,,,,,,,,,,,,,,,,
17,20,Tsinghua University,China (Mainland),Asia,XL,FC,VH,Public,99.9,QS,,,,,,,,,,,,,,,,,,,,
17,12,"University of California, Berkeley (UCB)",United States of America,Americas,XL,FC,VH,Public,100.0,QS,,,,,,,,,,,,,,,,,,,,
19,13,The University of Melbourne,Australia,Oceania,XL,FC,VH,Public,99.7,QS,,,,,,,,,,,,,,,,,,,,
20,19,The University of New South Wales,Australia,Oceania,XL,FC,VH,Public,96.3,QS,,,,,,,,,,,,,,,,,,,,
21,23,Yale University,United States of America,Americas,L,FC,VH,Private not for Profit,100.0,QS,,,,,,,,,,,,,,,,,,,,
22,26,École Polytechnique Fédérale de Lausanne,Switzerland,Europe,M,FO,VH,Public,92.7,QS,,,,,,,,,,,,,,,,,,,,
22,28,Technical University of Munich,Germany,Europe,XL,FO,VH,Public,92.0,QS,,,,,,,,,,,,,,,,,,,,
24,32,Johns Hopkins University,United States of America,Americas,L,FC,VH,Private not for Profit,93.2,QS,,,,,,,,,,,,,,,,,,,,
25,22,Princeton University,United States of America,Americas,M,CO,VH,Private not for Profit,100.0,QS,,,,,,,,,,,,,,,,,,,,
25,18,The University of Sydney,Australia,Oceania,XL,FC,VH,Public,98.9,QS,,,,,,,,,,,,,,,,,,,,
27,29,McGill University,Canada,Americas,L,FC,VH,Public,98.1,QS,,,,,,,,,,,,,,,,,,,,
28,24,PSL University,France,Europe,L,CO,VH,Public,82.6,QS,,,,,,,,,,,,,,,,,,,,
29,25,University of Toronto,Canada,Americas,XL,FC,VH,Public,100.0,QS,,,,,,,,,,,,,,,,,,,,
30,39,Fudan University,China (Mainland),Asia,XL,FC,VH,Public,93.7,QS,,,,,,,,,,,,,,,,,,,,
31,40,King's College London (KCL),United Kingdom,Europe,XL,FC,VH,Public,96.2,QS,,,,,,,,,,,,,,,,,,,,
